signal,position,population_scope,population_robustness,preferred_population,temporal_stability,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
minutes,GK,primary,untested,both,unassessable,exposure,outcome_access,False,blocked,"eligibility/access signal, not quality",player_level,discrete,553,0.0,1,553.0,,unassessable,,False,insufficient_support:bin_density,,0.1191,0.2188,0.0742,0.623,state_sensitive,,35,0.1191,0.1031,0.016,0.9,5,False,unassessable,
minutes,DEF,primary,untested,both,insufficient_data,exposure,outcome_access,False,blocked,"eligibility/access signal, not quality",player_level,quantile,2214,0.0,0,,,indeterminate,,False,degenerate,near_constant_position,0.1077,0.0908,0.0845,0.784,state_sensitive,,162,0.1077,0.1023,0.0054,2.12,47,False,weak_association,
minutes,MID,primary,untested,both,insufficient_data,exposure,outcome_access,False,blocked,"eligibility/access signal, not quality",player_level,quantile,2412,0.0,0,,,indeterminate,,False,degenerate,near_constant_position,0.1722,0.3661,0.1541,0.895,state_sensitive,,192,0.1722,0.1624,0.0098,2.65,64,False,weak_association,
minutes,FWD,primary,untested,both,insufficient_data,exposure,outcome_access,False,blocked,"eligibility/access signal, not quality",player_level,quantile,557,0.0,0,,,indeterminate,,False,degenerate,near_constant_position,0.1972,0.3066,0.1298,0.658,state_sensitive,,49,0.1972,0.1758,0.0214,5.21,29,False,weak_association,
goals_scored,GK,primary,untested,both,insufficient_data,performance,scoring_event,True,blocked,sparse event caveats apply,player_level,discrete,553,1.0,0,,,indeterminate,,False,degenerate,near_constant_position,,,,,indeterminate,,35,,,,0.9,5,False,weak_association,
goals_scored,DEF,primary,untested,both,stable,performance,scoring_event,True,eligible,sparse event caveats apply,player_level,discrete,2214,0.958,3,738.0,14.731,monotonic_positive,1.0,False,,,0.3209,0.4989,0.2671,0.832,state_sensitive,,162,0.3209,0.2436,0.0773,2.12,47,False,continuous_monotonic,core_signal
goals_scored,MID,primary,untested,both,stable,performance,scoring_event,True,caveated,sparse event caveats apply,player_level,discrete,2412,0.868,3,804.0,13.472,monotonic_positive,1.0,False,,,0.5843,0.7879,0.63,,indeterminate,unstable_ratio,192,0.5843,0.5359,0.0483,2.65,64,False,weak_association,review_signal
goals_scored,FWD,primary,untested,both,stable,performance,scoring_event,True,caveated,sparse event caveats apply,player_level,discrete,557,0.722,3,185.7,11.209,monotonic_positive,1.0,False,,,0.852,0.9244,0.8793,,indeterminate,unstable_ratio,49,0.852,0.8238,0.0281,5.21,29,False,weak_association,review_signal
assists,GK,primary,untested,both,unassessable,performance,creation_event,True,blocked,sparse event caveats apply,player_level,discrete,553,0.996,2,276.5,,unassessable,,False,insufficient_support:bin_density,,0.0714,-0.0515,-0.0254,0.356,mixed,,35,0.0714,0.0735,-0.002,0.9,5,False,unassessable,
assists,DEF,primary,untested,both,moderate_shift,performance,creation_event,True,eligible,sparse event caveats apply,player_level,discrete,2214,0.928,3,738.0,6.251,monotonic_positive,0.875,False,,,0.2723,0.3102,0.1944,0.714,state_sensitive,,162,0.2723,0.2615,0.0108,2.12,47,False,continuous_monotonic,review_signal
assists,MID,primary,untested,both,stable,performance,creation_event,True,eligible,sparse event caveats apply,player_level,discrete,2412,0.859,3,804.0,7.177,monotonic_positive,1.0,False,,,0.4863,0.4412,0.4227,0.869,state_sensitive,,192,0.4863,0.4706,0.0157,2.65,64,False,continuous_monotonic,core_signal
assists,FWD,primary,untested,both,stable,performance,creation_event,True,eligible,sparse event caveats apply,player_level,discrete,557,0.892,3,185.7,8.979,monotonic_positive,0.985,False,,,0.359,0.2892,0.2922,0.814,state_sensitive,,49,0.359,0.3552,0.0038,5.21,29,False,continuous_monotonic,core_signal
