signal,position,population_scope,population_robustness,signal_layer,layer_role,feature_candidate_eligible,downstream_status,interpretation_caveat,variable_level,preferred_population,bucketing_scheme,n_records,zero_fraction,active_bin_count,effective_n_per_bin,q1_q5_mean_gap,relationship_geometry,monotonicity_confidence,low_confidence,support_flags,support_type,temporal_stability,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,association_class,promotion_class
assists,DEF,primary,untested,performance,creation_event,True,eligible,sparse event caveats apply,player_level,exposure_conditioned,discrete,2347,0.927,2.0,782.3,6.276,monotonic_positive,0.932,False,,,moderate_shift,0.2735,0.3324,0.1984,0.725,state_sensitive,,164,0.2735,0.2617,0.0118,2.05,48,False,continuous_monotonic,review_signal
assists,FWD,primary,untested,performance,creation_event,True,eligible,sparse event caveats apply,player_level,exposure_conditioned,discrete,596,0.889,2.0,198.7,8.749,monotonic_positive,0.999,False,,,moderate_shift,0.3718,0.3572,0.2967,0.798,state_sensitive,,50,0.3718,0.3502,0.0216,5.37,32,False,continuous_monotonic,review_signal
assists,MID,primary,untested,performance,creation_event,True,eligible,sparse event caveats apply,player_level,both,discrete,4140,0.894,3.0,1380.0,8.128,monotonic_positive,1.0,False,,,stable,0.4564,0.7151,0.4273,0.936,state_sensitive,,239,0.4564,0.4411,0.0153,1.64,68,False,continuous_monotonic,core_signal
bonus,DEF,primary,untested,performance,points_component,True,eligible,scoring outcome component; avoid target leakage in modeling,player_level,both,discrete,3060,0.909,3.0,1020.0,8.844,monotonic_positive,1.0,False,,,stable,0.4932,0.8061,0.4681,0.949,state_sensitive,,180,0.4932,0.4524,0.0408,1.57,48,False,continuous_monotonic,core_signal
bonus,FWD,primary,untested,performance,points_component,True,caveated,scoring outcome component; avoid target leakage in modeling,player_level,both,discrete,1124,0.851,3.0,374.7,8.325,monotonic_positive,1.0,False,,,stable,0.6443,0.8716,0.756,,indeterminate,unstable_ratio,62,0.6443,0.5975,0.0468,2.85,32,False,weak_association,review_signal
bonus,GK,primary,untested,performance,points_component,True,eligible,scoring outcome component; avoid target leakage in modeling,player_level,both,discrete,596,0.891,3.0,198.7,7.288,monotonic_positive,1.0,False,,,stable,0.5328,0.6367,0.4936,0.926,state_sensitive,,37,0.5328,0.5147,0.0181,0.84,5,False,continuous_monotonic,core_signal
bonus,MID,primary,untested,performance,points_component,True,caveated,scoring outcome component; avoid target leakage in modeling,player_level,both,discrete,4140,0.896,3.0,1380.0,8.491,monotonic_positive,1.0,False,,,stable,0.5331,0.8847,0.5763,,indeterminate,unstable_ratio,239,0.5331,0.4953,0.0378,1.64,68,False,weak_association,review_signal
bps,DEF,primary,untested,performance,contribution_index,True,caveated,"descriptive contribution index, not causal",player_level,both,quantile,3060,0.028,5.0,612.0,7.395,monotonic_positive,1.0,False,,,stable,0.8541,0.9301,0.8661,,indeterminate,unstable_ratio,180,0.8541,0.8469,0.0072,1.57,48,False,weak_association,review_signal
bps,FWD,primary,untested,performance,contribution_index,True,caveated,"descriptive contribution index, not causal",player_level,both,quantile,1124,0.052,5.0,224.8,7.239,monotonic_positive,0.975,False,,,stable,0.8086,0.974,0.9109,,indeterminate,unstable_ratio,62,0.8086,0.7904,0.0182,2.85,32,False,weak_association,review_signal
bps,GK,primary,untested,performance,contribution_index,True,eligible,"descriptive contribution index, not causal",player_level,both,quantile,596,0.013,5.0,119.2,6.923,monotonic_positive,1.0,False,,,stable,0.9035,0.9183,0.8975,0.993,state_sensitive,,37,0.9035,0.901,0.0025,0.84,5,False,continuous_monotonic,core_signal
bps,MID,primary,untested,performance,contribution_index,True,eligible,"descriptive contribution index, not causal",player_level,both,quantile,4140,0.017,5.0,828.0,6.788,monotonic_positive,1.0,False,,,stable,0.8348,0.9447,0.8161,0.978,state_sensitive,,239,0.8348,0.8262,0.0087,1.64,68,False,continuous_monotonic,core_signal
clean_sheets,DEF,primary,untested,defensive_context,defensive_points_context,False,caveated,team/role dependent scoring context,player_level,both,discrete,3060,0.794,2.0,1530.0,,indeterminate,,False,,,insufficient_data,0.6747,0.869,0.6727,0.997,state_sensitive,,180,0.6747,0.6637,0.011,1.57,48,False,weak_association,review_signal
clean_sheets,FWD,primary,untested,defensive_context,defensive_points_context,False,caveated,team/role dependent scoring context,player_level,both,discrete,1124,0.835,2.0,562.0,,indeterminate,,False,,,insufficient_data,0.2778,0.7342,0.1832,0.659,state_sensitive,,62,0.2778,0.2768,0.001,2.85,32,False,weak_association,review_signal
clean_sheets,GK,primary,untested,defensive_context,defensive_points_context,False,caveated,team/role dependent scoring context,player_level,both,discrete,596,0.755,2.0,298.0,,indeterminate,,False,,,insufficient_data,0.7525,0.9334,0.7856,,indeterminate,unstable_ratio,37,0.7525,0.7459,0.0067,0.84,5,False,weak_association,review_signal
clean_sheets,MID,primary,untested,defensive_context,defensive_points_context,False,caveated,team/role dependent scoring context,player_level,both,discrete,4140,0.818,2.0,2070.0,,indeterminate,,False,,,insufficient_data,0.4173,0.7974,0.3325,0.797,state_sensitive,,239,0.4173,0.4184,-0.0011,1.64,68,False,weak_association,review_signal
