signal_a,signal_b,position,rho
assists,bonus,DEF,0.2022
assists,bps,DEF,0.2256
assists,clean_sheets,DEF,0.0065
assists,creativity,DEF,0.2272
assists,fdr_avg,DEF,-0.0685
assists,fdr_max,DEF,-0.0685
assists,fdr_min,DEF,-0.0685
assists,fixture_count,DEF,
assists,goals_conceded,DEF,-0.0092
assists,goals_scored,DEF,-0.0086
assists,ict_index,DEF,0.2473
assists,influence,DEF,0.2179
assists,minutes,DEF,0.0065
assists,ownership_count,DEF,0.0571
assists,purchase_price,DEF,0.0363
assists,red_cards,DEF,-0.0164
assists,saves,DEF,
assists,starts,DEF,0.0202
assists,threat,DEF,0.1172
assists,transfers_balance,DEF,0.0332
assists,transfers_in,DEF,0.0741
assists,transfers_out,DEF,0.0632
assists,was_home,DEF,0.0466
assists,xa,DEF,0.2139
assists,xg,DEF,0.0504
assists,xgc,DEF,-0.0175
assists,xgi,DEF,0.204
assists,yellow_cards,DEF,-0.0176
bonus,bps,DEF,0.5346
bonus,clean_sheets,DEF,0.4485
bonus,creativity,DEF,0.105
bonus,fdr_avg,DEF,-0.1167
bonus,fdr_max,DEF,-0.1167
bonus,fdr_min,DEF,-0.1167
bonus,fixture_count,DEF,
bonus,goals_conceded,DEF,-0.392
bonus,goals_scored,DEF,0.3067
bonus,ict_index,DEF,0.287
bonus,influence,DEF,0.3285
bonus,minutes,DEF,0.0551
bonus,ownership_count,DEF,0.0884
bonus,purchase_price,DEF,0.0982
bonus,red_cards,DEF,-0.0224
bonus,saves,DEF,
bonus,starts,DEF,0.0134
bonus,threat,DEF,0.1206
bonus,transfers_balance,DEF,0.0515
bonus,transfers_in,DEF,0.0957
bonus,transfers_out,DEF,0.0663
bonus,was_home,DEF,0.0283
bonus,xa,DEF,0.1158
bonus,xg,DEF,0.1185
bonus,xgc,DEF,-0.205
bonus,xgi,DEF,0.1704
bonus,yellow_cards,DEF,-0.0909
bps,clean_sheets,DEF,0.7312
bps,creativity,DEF,0.167
bps,fdr_avg,DEF,-0.2781
bps,fdr_max,DEF,-0.2781
bps,fdr_min,DEF,-0.2781
bps,fixture_count,DEF,
bps,goals_conceded,DEF,-0.7941
bps,goals_scored,DEF,0.2302
bps,ict_index,DEF,0.3682
bps,influence,DEF,0.4052
bps,minutes,DEF,0.096
bps,ownership_count,DEF,0.1284
bps,purchase_price,DEF,0.1639
bps,red_cards,DEF,-0.0611
bps,saves,DEF,
bps,starts,DEF,0.021
bps,threat,DEF,0.1199
bps,transfers_balance,DEF,0.1153
bps,transfers_in,DEF,0.1556
bps,transfers_out,DEF,0.0845
bps,was_home,DEF,0.1278
bps,xa,DEF,0.1728
bps,xg,DEF,0.1128
bps,xgc,DEF,-0.4198
bps,xgi,DEF,0.2005
bps,yellow_cards,DEF,-0.1701
clean_sheets,creativity,DEF,0.0163
clean_sheets,fdr_avg,DEF,-0.2003
clean_sheets,fdr_max,DEF,-0.2003
clean_sheets,fdr_min,DEF,-0.2003
clean_sheets,fixture_count,DEF,
clean_sheets,goals_conceded,DEF,-0.8056
clean_sheets,goals_scored,DEF,0.021
clean_sheets,ict_index,DEF,0.02
clean_sheets,influence,DEF,0.0158
clean_sheets,minutes,DEF,0.0124
clean_sheets,ownership_count,DEF,0.0895
clean_sheets,purchase_price,DEF,0.1416
clean_sheets,red_cards,DEF,-0.0105
clean_sheets,saves,DEF,
clean_sheets,starts,DEF,0.0018
clean_sheets,threat,DEF,-0.0026
clean_sheets,transfers_balance,DEF,0.0595
clean_sheets,transfers_in,DEF,0.082
clean_sheets,transfers_out,DEF,0.0517
clean_sheets,was_home,DEF,0.0664
clean_sheets,xa,DEF,0.0196
clean_sheets,xg,DEF,0.0142
clean_sheets,xgc,DEF,-0.371
clean_sheets,xgi,DEF,0.0167
clean_sheets,yellow_cards,DEF,-0.049
creativity,fdr_avg,DEF,-0.2012
creativity,fdr_max,DEF,-0.2012
creativity,fdr_min,DEF,-0.2012
creativity,fixture_count,DEF,
creativity,goals_conceded,DEF,-0.033
creativity,goals_scored,DEF,-0.0036
creativity,ict_index,DEF,0.5604
creativity,influence,DEF,0.0984
creativity,minutes,DEF,-0.0364
creativity,ownership_count,DEF,0.0868
creativity,purchase_price,DEF,0.1248
creativity,red_cards,DEF,-0.0411
creativity,saves,DEF,
creativity,starts,DEF,0.0195
creativity,threat,DEF,0.1859
creativity,transfers_balance,DEF,0.0953
creativity,transfers_in,DEF,0.1125
creativity,transfers_out,DEF,0.0521
creativity,was_home,DEF,0.1239
creativity,xa,DEF,0.7539
creativity,xg,DEF,0.0762
creativity,xgc,DEF,-0.1643
creativity,xgi,DEF,0.5086
creativity,yellow_cards,DEF,0.0221
fdr_avg,fdr_max,DEF,1.0
fdr_avg,fdr_min,DEF,1.0
fdr_avg,fixture_count,DEF,
fdr_avg,goals_conceded,DEF,0.2485
fdr_avg,goals_scored,DEF,-0.0384
fdr_avg,ict_index,DEF,-0.1581
fdr_avg,influence,DEF,-0.0668
fdr_avg,minutes,DEF,0.0033
fdr_avg,ownership_count,DEF,-0.0615
fdr_avg,purchase_price,DEF,-0.0392
fdr_avg,red_cards,DEF,-0.0184
fdr_avg,saves,DEF,
fdr_avg,starts,DEF,-0.0161
fdr_avg,threat,DEF,-0.1227
fdr_avg,transfers_balance,DEF,-0.2622
fdr_avg,transfers_in,DEF,-0.1857
fdr_avg,transfers_out,DEF,0.0071
fdr_avg,was_home,DEF,-0.3509
fdr_avg,xa,DEF,-0.1698
fdr_avg,xg,DEF,-0.1216
fdr_avg,xgc,DEF,0.297
fdr_avg,xgi,DEF,-0.1694
fdr_avg,yellow_cards,DEF,0.0538
fdr_max,fdr_min,DEF,1.0
fdr_max,fixture_count,DEF,
fdr_max,goals_conceded,DEF,0.2485
fdr_max,goals_scored,DEF,-0.0384
fdr_max,ict_index,DEF,-0.1581
fdr_max,influence,DEF,-0.0668
fdr_max,minutes,DEF,0.0033
fdr_max,ownership_count,DEF,-0.0615
fdr_max,purchase_price,DEF,-0.0392
fdr_max,red_cards,DEF,-0.0184
fdr_max,saves,DEF,
fdr_max,starts,DEF,-0.0161
fdr_max,threat,DEF,-0.1227
fdr_max,transfers_balance,DEF,-0.2622
fdr_max,transfers_in,DEF,-0.1857
fdr_max,transfers_out,DEF,0.0071
fdr_max,was_home,DEF,-0.3509
fdr_max,xa,DEF,-0.1698
fdr_max,xg,DEF,-0.1216
fdr_max,xgc,DEF,0.297
fdr_max,xgi,DEF,-0.1694
fdr_max,yellow_cards,DEF,0.0538
fdr_min,fixture_count,DEF,
fdr_min,goals_conceded,DEF,0.2485
fdr_min,goals_scored,DEF,-0.0384
