signal,position,signal_family,n_conditioned,n_active,zero_rate_conditioned,zero_rate_active,zero_rate_delta,structural_zero_risk,rank_order_stability,variance_ratio,support_collapse,exposure_sensitivity,preferred_population,support_quality,measurement_character,gw_block_variance_stability,early_vs_mid_pct,late_vs_mid_pct,variance_annotation,status
assists,DEF,creativity,2214,2882,0.9277,0.9382,0.0105,high,0.932,0.858,0.899,exposure_robust,exposure_conditioned,borderline,structural_zero,stable,14.609960564767178,6.956924053739955,NEAR_CONSTANT,INCLUDE
assists,FWD,creativity,557,1049,0.8923,0.9276,0.0353,low,0.837,0.663,0.789,exposure_sensitive,exposure_conditioned,borderline,participation_proxy,expanding,-1.527762531243515,45.40790636844329,NEAR_CONSTANT,INCLUDE
assists,GK,creativity,553,561,0.9964,0.9964,0.0,high,1.0,0.986,1.0,exposure_robust,exposure_conditioned,borderline,structural_zero,compressing,4.880884817015141,-100.0,NEAR_CONSTANT,EXCLUDE:structural_zero
assists,MID,creativity,2412,3918,0.859,0.8946,0.0356,low,0.869,0.754,0.823,exposure_robust,both,borderline,participation_proxy,stable,7.565355307670463,0.7111243585950833,NEAR_CONSTANT,INCLUDE
bonus,DEF,form,2214,2882,0.8808,0.908,0.0272,low,0.963,0.789,0.996,exposure_robust,both,borderline,participation_proxy,stable,12.44005556916623,17.01474657367954,NEAR_CONSTANT,INCLUDE
bonus,FWD,form,557,1049,0.7828,0.8532,0.0704,low,0.868,0.695,0.786,exposure_robust,both,borderline,participation_proxy,stable,-4.529423823665979,-3.48340193838238,NEAR_CONSTANT,INCLUDE
bonus,GK,form,553,561,0.8879,0.8895,0.0016,low,0.999,0.987,1.0,exposure_robust,both,borderline,participation_proxy,expanding,-46.196034166692435,0.15062984672462587,NEAR_CONSTANT,INCLUDE
bonus,MID,form,2412,3918,0.8391,0.8964,0.0573,low,0.924,0.672,0.956,exposure_robust,both,borderline,participation_proxy,stable,1.2395902934163816,-2.3924055004444167,NEAR_CONSTANT,INCLUDE
bps,DEF,form,2214,2882,0.0199,0.0281,0.0082,low,0.784,0.986,0.804,exposure_sensitive,both,sufficient,continuous_form,stable,6.7813767545475745,7.949916897200726,OK,INCLUDE
bps,FWD,form,557,1049,0.0395,0.0534,0.0139,low,0.703,0.765,0.549,exposure_sensitive,both,sufficient,continuous_form,stable,0.8495365919805931,-2.638480659257514,OK,INCLUDE
