signal,position,scope,signal_family,n,mean,median,std,iqr,cv,skew,p25,p75,p90,zero_rate,null_rate
goals_scored,GK,conditioned,attacking,553,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0
goals_scored,DEF,conditioned,attacking,2214,0.045167,0.0,0.222425,0.0,4.9245,5.218,0.0,0.0,0.0,0.958,0.0
goals_scored,MID,conditioned,attacking,2412,0.144279,0.0,0.388443,0.0,2.6923,2.87,0.0,0.0,1.0,0.8677,0.0
goals_scored,FWD,conditioned,attacking,557,0.341113,0.0,0.60154,1.0,1.7635,1.725,0.0,1.0,1.0,0.7217,0.0
assists,GK,conditioned,creativity,553,0.003617,0.0,0.060084,0.0,16.6132,16.583,0.0,0.0,0.0,0.9964,0.0
assists,DEF,conditioned,creativity,2214,0.074074,0.0,0.268762,0.0,3.6283,3.531,0.0,0.0,0.0,0.9277,0.0
assists,MID,conditioned,creativity,2412,0.152156,0.0,0.389173,0.0,2.5577,2.492,0.0,0.0,1.0,0.859,0.0
assists,FWD,conditioned,creativity,557,0.116697,0.0,0.353336,0.0,3.0278,3.348,0.0,0.0,1.0,0.8923,0.0
xg,GK,conditioned,attacking,553,0.000289,0.0,0.006804,0.0,23.516,23.516,0.0,0.0,0.0,0.9982,0.0
xg,DEF,conditioned,attacking,2214,0.056251,0.0,0.119039,0.06,2.1162,3.453,0.0,0.06,0.18,0.5777,0.0
xg,MID,conditioned,attacking,2412,0.140539,0.06,0.222289,0.18,1.5817,3.267,0.0,0.18,0.4,0.2981,0.0
xg,FWD,conditioned,attacking,557,0.371275,0.23,0.422822,0.5,1.1388,2.137,0.07,0.57,0.96,0.1436,0.0
xa,GK,conditioned,creativity,553,0.001664,0.0,0.008688,0.0,5.2225,16.121,0.0,0.0,0.01,0.8897,0.0
xa,DEF,conditioned,creativity,2214,0.057236,0.02,0.102387,0.05,1.7889,3.371,0.01,0.06,0.16,0.1947,0.0
xa,MID,conditioned,creativity,2412,0.116086,0.05,0.154577,0.14,1.3316,2.383,0.02,0.16,0.31,0.0456,0.0
xa,FWD,conditioned,creativity,557,0.052208,0.02,0.093025,0.04,1.7818,3.548,0.01,0.05,0.14400000000000035,0.2208,0.0
xgi,GK,conditioned,creativity,553,0.001953,0.0,0.010992,0.0,5.6281,13.318,0.0,0.0,0.01,0.8879,0.0
xgi,DEF,conditioned,creativity,2214,0.113451,0.05,0.160886,0.13,1.4181,2.381,0.01,0.14,0.32,0.131,0.0
xgi,MID,conditioned,creativity,2412,0.256592,0.16,0.286369,0.3,1.116,2.271,0.05,0.35,0.6390000000000009,0.0232,0.0
xgi,FWD,conditioned,creativity,557,0.423447,0.29,0.432065,0.52,1.0204,1.99,0.1,0.62,1.02,0.0413,0.0
bonus,GK,conditioned,form,553,0.218807,0.0,0.673683,0.0,3.0789,3.168,0.0,0.0,1.0,0.8879,0.0
bonus,DEF,conditioned,form,2214,0.226739,0.0,0.675629,0.0,2.9798,3.069,0.0,0.0,1.0,0.8808,0.0
bonus,MID,conditioned,form,2412,0.332919,0.0,0.82768,0.0,2.4861,2.412,0.0,0.0,2.0,0.8391,0.0
bonus,FWD,conditioned,form,557,0.490126,0.0,1.010018,0.0,2.0607,1.803,0.0,0.0,3.0,0.7828,0.0
bps,GK,conditioned,form,553,14.500904,12.0,10.607989,15.0,0.7315,0.624,7.0,22.0,30.0,0.0127,0.0
bps,DEF,conditioned,form,2214,14.126016,11.0,11.633619,17.0,0.8236,0.582,6.0,23.0,30.0,0.0199,0.0
bps,MID,conditioned,form,2412,16.810116,14.0,11.025385,12.0,0.6559,1.301,9.0,21.0,32.0,0.0041,0.0
bps,FWD,conditioned,form,557,15.168761,9.0,16.723854,21.0,1.1025,1.594,4.0,25.0,36.0,0.0395,0.0
ict_index,GK,conditioned,form,553,2.373599,2.2,1.357303,1.8,0.5718,1.208,1.4,3.2,4.0,0.0018,0.0
ict_index,DEF,conditioned,form,2214,3.663008,3.0,2.375667,2.5,0.6486,1.716,2.1,4.6,6.7,0.0014,0.0
ict_index,MID,conditioned,form,2412,4.983333,4.2,3.580004,4.7,0.7184,1.321,2.3,7.0,9.9,0.0033,0.0
ict_index,FWD,conditioned,form,557,5.453142,4.3,4.341283,5.7,0.7961,1.317,2.1,7.8,11.080000000000007,0.0036,0.0
influence,GK,conditioned,form,553,23.275588,22.0,12.973641,16.2,0.5574,1.034,14.2,30.4,39.96,0.0018,0.0
influence,DEF,conditioned,form,2214,20.781301,18.5,12.356571,13.0,0.5946,1.695,12.6,25.6,35.0,0.0032,0.0
influence,MID,conditioned,form,2412,17.893201,13.0,15.937543,16.8,0.8907,1.671,7.0,23.8,41.2,0.0352,0.0
influence,FWD,conditioned,form,557,17.784201,7.8,21.34064,31.6,1.2,1.539,2.0,33.6,43.4,0.1364,0.0
creativity,GK,conditioned,creativity,553,0.379566,0.0,2.063055,0.0,5.4353,6.089,0.0,0.0,0.0,0.9476,0.0
creativity,DEF,conditioned,creativity,2214,8.964499,3.3,11.502033,12.2,1.2831,2.247,1.1,13.3,23.8,0.0095,0.0
creativity,MID,conditioned,creativity,2412,18.464511,14.8,16.571801,22.1,0.8975,1.579,4.7,26.8,40.7,0.0,0.0
creativity,FWD,conditioned,creativity,557,10.238779,8.2,9.711062,11.7,0.9485,1.351,2.3,14.0,23.680000000000007,0.0,0.0
threat,GK,conditioned,attacking,553,0.070524,0.0,1.492887,0.0,21.1684,23.296,0.0,0.0,0.0,0.9946,0.0
threat,DEF,conditioned,attacking,2214,6.83243,4.0,10.128787,8.0,1.4825,2.65,0.0,8.0,19.0,0.2949,0.0
threat,MID,conditioned,attacking,2412,13.488806,8.0,14.922011,18.0,1.1063,1.733,2.0,20.0,35.0,0.1434,0.0
threat,FWD,conditioned,attacking,557,26.770197,21.0,22.89484,30.0,0.8552,1.456,9.0,39.0,57.0,0.0287,0.0
clean_sheets,GK,conditioned,defensive,553,0.251356,0.0,0.434186,1.0,1.7274,1.149,0.0,1.0,1.0,0.7486,0.0
clean_sheets,DEF,conditioned,defensive,2214,0.271003,0.0,0.444578,1.0,1.6405,1.031,0.0,1.0,1.0,0.729,0.0
clean_sheets,MID,conditioned,defensive,2412,0.298093,0.0,0.457515,1.0,1.5348,0.883,0.0,1.0,1.0,0.7019,0.0
clean_sheets,FWD,conditioned,defensive,557,0.314183,0.0,0.464607,1.0,1.4788,0.803,0.0,1.0,1.0,0.6858,0.0
goals_conceded,GK,conditioned,defensive,553,1.412297,1.0,1.138901,1.0,0.8064,0.576,1.0,2.0,3.0,0.2441,0.0
goals_conceded,DEF,conditioned,defensive,2214,1.328817,1.0,1.113655,2.0,0.8381,0.64,0.0,2.0,3.0,0.2651,0.0
goals_conceded,MID,conditioned,defensive,2412,1.221808,1.0,1.070383,2.0,0.8761,0.712,0.0,2.0,3.0,0.291,0.0
goals_conceded,FWD,conditioned,defensive,557,1.181329,1.0,1.051451,2.0,0.8901,0.723,0.0,2.0,3.0,0.3034,0.0
