signal,position,rho_full,rho_no_haul,rho_drop,haul_pct,n_haul,tail_sensitive,support_flag
assists,DEF,0.2735,0.2617,0.0118,2.05,48,False,
assists,FWD,0.3718,0.3502,0.0216,5.37,32,False,
assists,MID,0.4564,0.4411,0.0153,1.64,68,False,
bonus,DEF,0.4932,0.4524,0.0408,1.57,48,False,
bonus,FWD,0.6443,0.5975,0.0468,2.85,32,False,
bonus,GK,0.5328,0.5147,0.0181,0.84,5,False,
bonus,MID,0.5331,0.4953,0.0378,1.64,68,False,
bps,DEF,0.8541,0.8469,0.0072,1.57,48,False,
bps,FWD,0.8086,0.7904,0.0182,2.85,32,False,
bps,GK,0.9035,0.901,0.0025,0.84,5,False,
bps,MID,0.8348,0.8262,0.0087,1.64,68,False,
clean_sheets,DEF,0.6747,0.6637,0.011,1.57,48,False,
clean_sheets,FWD,0.2778,0.2768,0.001,2.85,32,False,
clean_sheets,GK,0.7525,0.7459,0.0067,0.84,5,False,
clean_sheets,MID,0.4173,0.4184,-0.0011,1.64,68,False,
creativity,DEF,0.1987,0.1862,0.0125,1.57,48,False,
creativity,FWD,0.1827,0.1743,0.0084,5.37,32,False,
creativity,GK,0.017,0.0076,0.0094,0.85,5,False,
creativity,MID,0.4667,0.4593,0.0074,1.64,68,False,
fdr_avg,DEF,-0.1536,-0.1468,-0.0067,1.57,48,False,
fdr_avg,FWD,-0.0894,-0.0716,-0.0178,2.85,32,False,
fdr_avg,GK,-0.1506,-0.1419,-0.0087,0.84,5,False,
fdr_avg,MID,-0.0809,-0.0733,-0.0075,1.64,68,False,
fdr_max,DEF,-0.1396,-0.137,-0.0027,1.57,48,False,
fdr_max,FWD,-0.083,-0.0665,-0.0165,2.85,32,False,
fdr_max,GK,-0.1373,-0.1293,-0.008,0.84,5,False,
fdr_max,MID,-0.0699,-0.065,-0.005,1.64,68,False,
fdr_min,DEF,-0.1623,-0.154,-0.0083,1.57,48,False,
fdr_min,FWD,-0.0972,-0.0782,-0.019,2.85,32,False,
fdr_min,GK,-0.1624,-0.1503,-0.0121,0.84,5,False,
