signal,position,rho_pooled,rho_between,rho_within,within_share,panel_class,decomposition_flag,n_players,support_flag
assists,DEF,0.2735,0.3324,0.1984,0.725,state_sensitive,,164,
assists,FWD,0.3718,0.3572,0.2967,0.798,state_sensitive,,50,
assists,MID,0.4564,0.7151,0.4273,0.936,state_sensitive,,239,
bonus,DEF,0.4932,0.8061,0.4681,0.949,state_sensitive,,180,
bonus,FWD,0.6443,0.8716,0.756,,indeterminate,unstable_ratio,62,
bonus,GK,0.5328,0.6367,0.4936,0.926,state_sensitive,,37,
bonus,MID,0.5331,0.8847,0.5763,,indeterminate,unstable_ratio,239,
bps,DEF,0.8541,0.9301,0.8661,,indeterminate,unstable_ratio,180,
bps,FWD,0.8086,0.974,0.9109,,indeterminate,unstable_ratio,62,
bps,GK,0.9035,0.9183,0.8975,0.993,state_sensitive,,37,
bps,MID,0.8348,0.9447,0.8161,0.978,state_sensitive,,239,
clean_sheets,DEF,0.6747,0.869,0.6727,0.997,state_sensitive,,180,
clean_sheets,FWD,0.2778,0.7342,0.1832,0.659,state_sensitive,,62,
clean_sheets,GK,0.7525,0.9334,0.7856,,indeterminate,unstable_ratio,37,
clean_sheets,MID,0.4173,0.7974,0.3325,0.797,state_sensitive,,239,
creativity,DEF,0.1987,0.3554,0.144,0.725,state_sensitive,,180,
creativity,FWD,0.1827,0.1815,0.1618,0.886,state_sensitive,,50,
creativity,GK,0.017,0.2489,0.0573,,indeterminate,unstable_ratio,36,
creativity,MID,0.4667,0.7642,0.284,0.608,state_sensitive,,239,
fdr_avg,DEF,-0.1536,-0.2126,-0.1525,0.993,state_sensitive,,180,
fdr_avg,FWD,-0.0894,0.0508,-0.0939,,indeterminate,unstable_ratio,62,
fdr_avg,GK,-0.1506,-0.2498,-0.1558,,indeterminate,unstable_ratio,37,
fdr_avg,MID,-0.0809,0.0058,-0.0844,,indeterminate,unstable_ratio,239,
fdr_max,DEF,-0.1396,-0.1992,-0.1437,,indeterminate,unstable_ratio,180,
fdr_max,FWD,-0.083,0.0221,-0.0885,,indeterminate,unstable_ratio,62,
fdr_max,GK,-0.1373,-0.2499,-0.1496,,indeterminate,unstable_ratio,37,
fdr_max,MID,-0.0699,0.0114,-0.0738,,indeterminate,unstable_ratio,239,
fdr_min,DEF,-0.1623,-0.2253,-0.1633,,indeterminate,unstable_ratio,180,
fdr_min,FWD,-0.0972,0.0543,-0.1045,,indeterminate,unstable_ratio,62,
fdr_min,GK,-0.1624,-0.2522,-0.1689,,indeterminate,unstable_ratio,37,
fdr_min,MID,-0.0864,0.0011,-0.0915,,indeterminate,unstable_ratio,239,
fixture_count,DEF,0.0967,0.2082,0.0476,0.493,state_sensitive,,180,
fixture_count,FWD,0.061,-0.022,-0.0125,0.206,mixed,,62,
fixture_count,GK,0.1183,0.2101,0.0629,0.532,state_sensitive,,37,
fixture_count,MID,0.0806,0.1955,0.0734,0.911,state_sensitive,,239,
goals_conceded,DEF,-0.4006,0.1501,-0.4934,,indeterminate,unstable_ratio,180,
goals_conceded,FWD,0.2377,0.574,0.1023,0.431,state_sensitive,,62,
goals_conceded,GK,-0.7569,-0.5351,-0.7387,0.976,state_sensitive,,37,
goals_conceded,MID,0.1488,0.6488,0.0205,0.138,identity_dominant,,239,
goals_scored,DEF,0.3192,0.5121,0.2604,0.816,state_sensitive,,164,
goals_scored,FWD,0.8493,0.9137,0.877,,indeterminate,unstable_ratio,50,
goals_scored,MID,0.5106,0.8246,0.5594,,indeterminate,unstable_ratio,239,
ict_index,DEF,0.4945,0.7919,0.4221,0.854,state_sensitive,,180,
ict_index,FWD,0.7774,0.9378,0.7674,0.987,state_sensitive,,62,
ict_index,GK,0.3464,0.2011,0.3197,0.923,state_sensitive,,37,
ict_index,MID,0.6875,0.9096,0.624,0.908,state_sensitive,,239,
influence,DEF,0.571,0.8005,0.5103,0.894,state_sensitive,,180,
influence,FWD,0.7361,0.9692,0.8758,,indeterminate,unstable_ratio,62,
influence,GK,0.3546,0.2009,0.3264,0.921,state_sensitive,,37,
influence,MID,0.7506,0.9595,0.7705,,indeterminate,unstable_ratio,239,
minutes,DEF,0.4455,0.7375,0.3286,0.738,state_sensitive,,180,
minutes,FWD,0.6285,0.8336,0.3294,0.524,state_sensitive,,62,
minutes,GK,0.1972,0.3518,0.1027,0.521,state_sensitive,,37,
minutes,MID,0.6479,0.8879,0.4496,0.694,state_sensitive,,239,
ownership_count,DEF,0.1893,0.6108,-0.0642,0.339,mixed,,180,
ownership_count,FWD,0.3111,0.6186,-0.025,0.08,identity_dominant,,62,
ownership_count,GK,0.0736,0.3452,-0.0534,0.726,state_sensitive,,37,
ownership_count,MID,0.2714,0.7158,-0.0145,0.053,identity_dominant,,239,
purchase_price,DEF,0.1439,0.4586,-0.1103,0.766,state_sensitive,,180,
purchase_price,FWD,0.2646,0.6038,-0.0667,0.252,mixed,,62,
purchase_price,GK,0.0782,0.3248,-0.0634,0.811,state_sensitive,,37,
purchase_price,MID,0.188,0.5709,-0.0618,0.329,mixed,,239,
saves,GK,0.319,0.251,0.2761,0.866,state_sensitive,,37,
starts,DEF,0.399,0.6721,0.2592,0.65,state_sensitive,,180,
starts,FWD,0.6072,0.8325,0.2829,0.466,state_sensitive,,62,
starts,GK,0.1689,0.3906,0.0828,0.49,state_sensitive,,37,
starts,MID,0.6052,0.8341,0.3653,0.604,state_sensitive,,239,
threat,DEF,0.2751,0.6439,0.2494,0.906,state_sensitive,,180,
threat,FWD,0.5146,0.6097,0.5356,,indeterminate,unstable_ratio,50,
threat,MID,0.4543,0.7174,0.4244,0.934,state_sensitive,,239,
transfers_balance,DEF,0.1135,0.6547,0.0824,0.726,state_sensitive,,180,
transfers_balance,FWD,0.0983,0.5845,0.1238,,indeterminate,unstable_ratio,62,
transfers_balance,GK,0.0828,0.4371,0.0872,,indeterminate,unstable_ratio,37,
transfers_balance,MID,0.1224,0.6093,0.1253,,indeterminate,unstable_ratio,239,
transfers_in,DEF,0.2416,0.767,0.0509,0.211,mixed,,180,
transfers_in,FWD,0.3674,0.7802,0.1282,0.349,mixed,,62,
transfers_in,GK,0.1291,0.5124,0.0575,0.445,state_sensitive,,37,
transfers_in,MID,0.3472,0.8423,0.1105,0.318,mixed,,239,
transfers_out,DEF,0.1677,0.6518,-0.0387,0.231,mixed,,180,
transfers_out,FWD,0.2823,0.676,-0.029,0.103,identity_dominant,,62,
transfers_out,GK,0.033,0.4103,-0.0736,,indeterminate,unstable_ratio,37,
transfers_out,MID,0.2701,0.7644,-0.0064,0.024,identity_dominant,,239,
was_home,DEF,0.0857,0.0465,0.0753,0.879,state_sensitive,,180,
was_home,FWD,0.0114,0.0516,0.039,,indeterminate,unstable_ratio,62,
was_home,GK,0.0673,0.2414,0.0684,,indeterminate,unstable_ratio,37,
was_home,MID,0.0355,-0.044,0.0474,,indeterminate,unstable_ratio,239,
xa,DEF,0.2146,0.4469,0.1479,0.689,state_sensitive,,180,
xa,FWD,0.1854,0.2856,0.1506,0.813,state_sensitive,,50,
xa,GK,-0.037,0.408,0.0223,0.604,state_sensitive,,37,
xa,MID,0.4257,0.746,0.2604,0.612,state_sensitive,,239,
xg,DEF,0.2491,0.591,0.2348,0.943,state_sensitive,,180,
xg,FWD,0.4772,0.5451,0.4906,,indeterminate,unstable_ratio,50,
xg,MID,0.4081,0.7407,0.3613,0.885,state_sensitive,,239,
xgc,DEF,0.0502,0.4199,-0.0428,0.853,state_sensitive,,180,
xgc,FWD,0.3801,0.6846,0.1421,0.374,mixed,,62,
xgc,GK,-0.2099,-0.2406,-0.1875,0.893,state_sensitive,,37,
xgc,MID,0.3679,0.7107,0.1951,0.53,state_sensitive,,239,
xgi,DEF,0.3137,0.5962,0.2592,0.826,state_sensitive,,180,
xgi,FWD,0.4978,0.5882,0.5025,,indeterminate,unstable_ratio,50,
xgi,GK,-0.0388,0.3702,0.0011,0.028,identity_dominant,,37,
xgi,MID,0.5095,0.819,0.4066,0.798,state_sensitive,,239,
yellow_cards,DEF,-0.1784,0.2762,-0.1183,0.663,state_sensitive,,180,
yellow_cards,FWD,-0.0126,0.3612,0.0628,,indeterminate,unstable_ratio,62,
yellow_cards,GK,-0.1558,0.0164,-0.0754,0.484,state_sensitive,,37,
yellow_cards,MID,-0.1297,0.4009,-0.1077,0.83,state_sensitive,,239,
