signal,position,pooled_gap,gap_early,gap_mid,gap_late,temporal_stability
assists,DEF,6.276,5.21,3.513,11.385,moderate_shift
assists,FWD,8.749,10.148,2.962,8.533,moderate_shift
assists,MID,8.128,6.925,9.703,8.527,stable
bonus,DEF,8.844,9.845,7.981,8.677,stable
bonus,FWD,8.325,8.485,8.02,8.485,stable
bonus,GK,7.288,7.241,7.628,7.044,stable
bonus,MID,8.491,8.514,8.377,8.591,stable
bps,DEF,7.395,7.648,7.058,7.724,stable
bps,FWD,7.239,6.861,7.057,7.54,stable
bps,GK,6.923,5.953,6.925,7.292,stable
bps,MID,6.788,6.594,6.764,6.651,stable
clean_sheets,DEF,,6.238,5.526,5.803,insufficient_data
clean_sheets,FWD,,1.075,1.563,1.362,insufficient_data
clean_sheets,GK,,4.85,5.818,5.678,insufficient_data
clean_sheets,MID,,2.275,1.997,2.181,insufficient_data
creativity,DEF,,1.699,1.45,1.673,insufficient_data
creativity,FWD,,1.693,1.496,1.629,insufficient_data
creativity,GK,,2.186,1.865,-0.971,insufficient_data
creativity,MID,3.081,3.032,3.127,3.144,stable
fdr_avg,DEF,,-2.63,-1.775,-2.323,insufficient_data
fdr_avg,FWD,,-2.201,-0.34,-2.543,insufficient_data
fdr_avg,GK,,-1.356,-1.6,-3.0,insufficient_data
fdr_avg,MID,-1.359,-1.724,-1.053,-1.271,stable
fdr_max,DEF,,-2.63,-1.775,-2.323,insufficient_data
fdr_max,FWD,,-2.201,-0.34,-2.543,insufficient_data
fdr_max,GK,,-1.356,-1.6,-3.0,insufficient_data
fdr_max,MID,-1.359,-1.724,-1.053,-1.271,stable
fdr_min,DEF,,-2.63,-1.775,-2.841,insufficient_data
fdr_min,FWD,,-2.201,-0.34,-2.435,insufficient_data
fdr_min,GK,,-1.356,-1.6,-3.3,insufficient_data
fdr_min,MID,-1.49,-1.724,-1.053,-1.665,stable
fixture_count,DEF,,,,3.2,insufficient_data
fixture_count,FWD,,,,1.351,insufficient_data
fixture_count,GK,,,,2.824,insufficient_data
fixture_count,MID,,,,2.161,insufficient_data
goals_conceded,DEF,-3.264,-3.375,-3.383,-3.041,stable
goals_conceded,FWD,1.174,1.02,1.194,1.283,stable
goals_conceded,GK,-5.512,-5.172,-5.746,-5.555,stable
goals_conceded,MID,0.624,0.338,0.694,0.817,moderate_shift
goals_scored,DEF,14.748,13.838,17.568,15.447,stable
goals_scored,FWD,11.355,11.32,11.186,11.561,stable
goals_scored,MID,14.076,13.574,14.157,14.617,stable
