signal,position,primary_n,minimal_n,rho_primary,rho_minimal,delta_rho
assists,DEF,2744,2744,0.266,0.266,0.0
assists,FWD,684,684,0.3683,0.3683,0.0
assists,GK,687,687,0.0684,0.0684,0.0
assists,MID,2996,2996,0.4877,0.4877,0.0
bonus,DEF,2744,2744,0.5489,0.5489,0.0
bonus,FWD,684,684,0.8083,0.8083,0.0
bonus,GK,687,687,0.5405,0.5405,0.0
bonus,MID,2996,2996,0.6225,0.6225,0.0
bps,DEF,2744,2744,0.8658,0.8658,0.0
bps,FWD,684,684,0.8575,0.8575,0.0
bps,GK,687,687,0.9099,0.9099,0.0
bps,MID,2996,2996,0.7254,0.7254,0.0
clean_sheets,DEF,2744,2744,0.7253,0.7253,0.0
clean_sheets,FWD,684,684,-0.0069,-0.0069,0.0
clean_sheets,GK,687,687,0.767,0.767,0.0
clean_sheets,MID,2996,2996,0.2931,0.2931,0.0
creativity,DEF,2744,2744,0.0239,0.0239,0.0
creativity,FWD,684,684,0.1842,0.1842,0.0
creativity,GK,687,687,0.018,0.018,0.0
creativity,MID,2996,2996,0.1829,0.1829,0.0
fdr_avg,DEF,2744,2744,-0.2073,-0.2073,0.0
fdr_avg,FWD,684,684,-0.1098,-0.1098,0.0
fdr_avg,GK,687,687,-0.1564,-0.1564,0.0
fdr_avg,MID,2996,2996,-0.1636,-0.1636,0.0
fdr_max,DEF,2744,2744,-0.1927,-0.1927,0.0
fdr_max,FWD,684,684,-0.0932,-0.0932,0.0
fdr_max,GK,687,687,-0.1453,-0.1453,0.0
fdr_max,MID,2996,2996,-0.1519,-0.1519,0.0
fdr_min,DEF,2744,2744,-0.2151,-0.2151,0.0
fdr_min,FWD,684,684,-0.1227,-0.1227,0.0
fdr_min,GK,687,687,-0.1663,-0.1663,0.0
fdr_min,MID,2996,2996,-0.1683,-0.1683,0.0
fixture_count,DEF,2744,2744,0.0926,0.0926,0.0
fixture_count,FWD,684,684,0.1287,0.1287,0.0
fixture_count,GK,687,687,0.1065,0.1065,0.0
fixture_count,MID,2996,2996,0.0793,0.0793,0.0
goals_conceded,DEF,2744,2744,-0.7294,-0.7294,0.0
goals_conceded,FWD,684,684,0.0239,0.0239,0.0
goals_conceded,GK,687,687,-0.8014,-0.8014,0.0
goals_conceded,MID,2996,2996,-0.2516,-0.2516,0.0
goals_scored,DEF,2744,2744,0.311,0.311,0.0
goals_scored,FWD,684,684,0.8537,0.8537,0.0
goals_scored,GK,687,687,,,
goals_scored,MID,2996,2996,0.5839,0.5839,0.0
ict_index,DEF,2744,2744,0.3114,0.3114,0.0
ict_index,FWD,684,684,0.7295,0.7295,0.0
ict_index,GK,687,687,0.3287,0.3287,0.0
ict_index,MID,2996,2996,0.5298,0.5298,0.0
influence,DEF,2744,2744,0.4187,0.4187,0.0
influence,FWD,684,684,0.7933,0.7933,0.0
influence,GK,687,687,0.3387,0.3387,0.0
influence,MID,2996,2996,0.6945,0.6945,0.0
minutes,DEF,2744,2744,0.1057,0.1057,0.0
minutes,FWD,684,684,0.172,0.172,0.0
minutes,GK,687,687,0.125,0.125,0.0
minutes,MID,2996,2996,0.1663,0.1663,0.0
ownership_count,DEF,2744,2744,0.1038,0.1038,0.0
ownership_count,FWD,684,684,0.1556,0.1556,0.0
ownership_count,GK,687,687,0.0555,0.0555,0.0
ownership_count,MID,2996,2996,0.119,0.119,0.0
purchase_price,DEF,2744,2744,0.1289,0.1289,0.0
purchase_price,FWD,684,684,0.1258,0.1258,0.0
purchase_price,GK,687,687,0.0772,0.0772,0.0
purchase_price,MID,2996,2996,0.0973,0.0973,0.0
red_cards,DEF,2744,2744,-0.0651,-0.0651,0.0
red_cards,FWD,684,684,,,
red_cards,GK,687,687,,,
red_cards,MID,2996,2996,-0.0645,-0.0645,0.0
saves,DEF,2744,2744,,,
saves,FWD,684,684,,,
saves,GK,687,687,0.307,0.307,0.0
saves,MID,2996,2996,,,
starts,DEF,2744,2744,0.1045,0.1045,0.0
starts,FWD,684,684,0.1214,0.1214,0.0
starts,GK,687,687,0.117,0.117,0.0
starts,MID,2996,2996,0.0788,0.0788,0.0
threat,DEF,2744,2744,0.1378,0.1378,0.0
threat,FWD,684,684,0.5155,0.5155,0.0
threat,GK,687,687,-0.0647,-0.0647,0.0
threat,MID,2996,2996,0.3033,0.3033,0.0
transfers_balance,DEF,2744,2744,0.0888,0.0888,0.0
transfers_balance,FWD,684,684,0.0322,0.0322,0.0
transfers_balance,GK,687,687,0.1003,0.1003,0.0
transfers_balance,MID,2996,2996,0.0075,0.0075,0.0
transfers_in,DEF,2744,2744,0.12,0.12,0.0
transfers_in,FWD,684,684,0.1109,0.1109,0.0
transfers_in,GK,687,687,0.1134,0.1134,0.0
transfers_in,MID,2996,2996,0.0966,0.0966,0.0
transfers_out,DEF,2744,2744,0.0694,0.0694,0.0
transfers_out,FWD,684,684,0.0635,0.0635,0.0
transfers_out,GK,687,687,0.0178,0.0178,0.0
transfers_out,MID,2996,2996,0.0944,0.0944,0.0
was_home,DEF,2706,2706,0.0876,0.0876,0.0
was_home,FWD,673,673,0.0284,0.0284,0.0
was_home,GK,679,679,0.0694,0.0694,0.0
was_home,MID,2950,2950,0.0573,0.0573,0.0
xa,DEF,2744,2744,0.0502,0.0502,0.0
xa,FWD,684,684,0.1755,0.1755,0.0
xa,GK,687,687,-0.0701,-0.0701,0.0
xa,MID,2996,2996,0.1699,0.1699,0.0
xg,DEF,2744,2744,0.1468,0.1468,0.0
xg,FWD,684,684,0.4724,0.4724,0.0
xg,GK,687,687,-0.0143,-0.0143,0.0
xg,MID,2996,2996,0.2672,0.2672,0.0
xgc,DEF,2744,2744,-0.3128,-0.3128,0.0
xgc,FWD,684,684,0.0106,0.0106,0.0
xgc,GK,687,687,-0.2556,-0.2556,0.0
xgc,MID,2996,2996,-0.1163,-0.1163,0.0
xgi,DEF,2744,2744,0.1514,0.1514,0.0
xgi,FWD,684,684,0.4919,0.4919,0.0
xgi,GK,687,687,-0.0715,-0.0715,0.0
xgi,MID,2996,2996,0.3098,0.3098,0.0
yellow_cards,DEF,2744,2744,-0.2213,-0.2213,0.0
yellow_cards,FWD,684,684,-0.0531,-0.0531,0.0
yellow_cards,GK,687,687,-0.1368,-0.1368,0.0
yellow_cards,MID,2996,2996,-0.2468,-0.2468,0.0
