signal,position,block,n,median,q1,q3,iqr,min_gw,max_gw
minutes,GK,first_half,340,90.0,90.0,90.0,0.0,1,17
minutes,GK,second_half,347,90.0,90.0,90.0,0.0,18,38
minutes,DEF,first_half,1349,90.0,90.0,90.0,0.0,1,17
minutes,DEF,second_half,1395,90.0,90.0,90.0,0.0,18,38
minutes,MID,first_half,1494,90.0,75.0,90.0,15.0,1,17
minutes,MID,second_half,1502,90.0,79.0,90.0,11.0,18,38
minutes,FWD,first_half,314,84.0,72.25,90.0,17.75,1,17
minutes,FWD,second_half,370,87.0,74.0,90.0,16.0,18,38
goals_scored,GK,first_half,340,0.0,0.0,0.0,0.0,1,17
goals_scored,GK,second_half,347,0.0,0.0,0.0,0.0,18,38
goals_scored,DEF,first_half,1349,0.0,0.0,0.0,0.0,1,17
goals_scored,DEF,second_half,1395,0.0,0.0,0.0,0.0,18,38
goals_scored,MID,first_half,1494,0.0,0.0,0.0,0.0,1,17
goals_scored,MID,second_half,1502,0.0,0.0,0.0,0.0,18,38
goals_scored,FWD,first_half,314,0.0,0.0,1.0,1.0,1,17
goals_scored,FWD,second_half,370,0.0,0.0,1.0,1.0,18,38
assists,GK,first_half,340,0.0,0.0,0.0,0.0,1,17
assists,GK,second_half,347,0.0,0.0,0.0,0.0,18,38
assists,DEF,first_half,1349,0.0,0.0,0.0,0.0,1,17
assists,DEF,second_half,1395,0.0,0.0,0.0,0.0,18,38
assists,MID,first_half,1494,0.0,0.0,0.0,0.0,1,17
assists,MID,second_half,1502,0.0,0.0,0.0,0.0,18,38
assists,FWD,first_half,314,0.0,0.0,0.0,0.0,1,17
assists,FWD,second_half,370,0.0,0.0,0.0,0.0,18,38
clean_sheets,GK,first_half,340,0.0,0.0,1.0,1.0,1,17
clean_sheets,GK,second_half,347,0.0,0.0,1.0,1.0,18,38
clean_sheets,DEF,first_half,1349,0.0,0.0,1.0,1.0,1,17
clean_sheets,DEF,second_half,1395,0.0,0.0,1.0,1.0,18,38
clean_sheets,MID,first_half,1494,0.0,0.0,1.0,1.0,1,17
