signal,position,population_scope,population_robustness,preferred_population,temporal_stability,association_class,downstream_status,promotion_class,construct_relationship_present
assists,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
assists,FWD,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
assists,GK,primary,stable,both,stable,unassessable,blocked,,False
assists,MID,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
bonus,GK,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bonus,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
bps,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
bps,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
bps,GK,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
bps,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,GK,primary,stable,both,stable,weak_association,caveated,review_signal,False
clean_sheets,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
creativity,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
creativity,MID,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,True
fdr_avg,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_avg,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_max,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,DEF,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,FWD,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,GK,primary,stable,both,stable,weak_association,caveated,context_control,True
fdr_min,MID,primary,stable,both,stable,weak_association,caveated,context_control,True
fixture_count,DEF,primary,stable,both,stable,weak_association,caveated,context_control,False
fixture_count,FWD,primary,stable,both,stable,unassessable,blocked,,False
fixture_count,GK,primary,stable,both,stable,unassessable,blocked,,False
fixture_count,MID,primary,stable,both,stable,weak_association,caveated,context_control,False
goals_conceded,DEF,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_conceded,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
goals_conceded,GK,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_conceded,MID,primary,stable,both,stable,continuous_monotonic,caveated,review_signal,False
goals_scored,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,False
goals_scored,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,False
goals_scored,GK,primary,untested,both,stable,weak_association,blocked,,False
goals_scored,MID,primary,stable,both,stable,weak_association,caveated,review_signal,False
ict_index,DEF,primary,stable,both,stable,continuous_monotonic,eligible,core_signal,True
ict_index,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
ict_index,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
ict_index,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,DEF,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,FWD,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,GK,primary,stable,both,stable,weak_association,caveated,review_signal,True
influence,MID,primary,stable,both,stable,weak_association,caveated,review_signal,True
minutes,DEF,primary,stable,both,stable,weak_association,blocked,,False
minutes,FWD,primary,stable,both,stable,weak_association,blocked,,False
minutes,GK,primary,stable,both,stable,unassessable,blocked,,False
minutes,MID,primary,stable,both,stable,weak_association,blocked,,False
ownership_count,DEF,primary,stable,both,stable,weak_association,caveated,market_context,True
ownership_count,FWD,primary,stable,both,stable,weak_association,caveated,market_context,False
ownership_count,GK,primary,stable,both,stable,weak_association,caveated,market_context,False
ownership_count,MID,primary,stable,both,stable,weak_association,caveated,market_context,True
purchase_price,DEF,primary,stable,both,stable,upper_tail_concentrated,caveated,review_signal,False
