sub_study,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
EDA-8A,saves,GKP,early,-0.0943,-0.2238,0.0421,200,False
EDA-8A,saves,GKP,mid,0.0265,-0.1216,0.1628,198,False
EDA-8A,saves,GKP,late,-0.0173,-0.1719,0.1427,145,False
EDA-8B,xgc,DEF,early,-0.07,-0.1343,-0.0006,786,True
EDA-8B,xgc,DEF,mid,0.0219,-0.0511,0.0902,811,False
EDA-8B,xgc,DEF,late,-0.0848,-0.1619,-0.0026,574,True
EDA-8B,xgc,GKP,early,-0.1304,-0.2651,0.0071,200,False
EDA-8B,xgc,GKP,mid,-0.0295,-0.1754,0.1189,198,False
EDA-8B,xgc,GKP,late,-0.2071,-0.3592,-0.0457,145,True
EDA-8D,assists,MID,early,0.048,-0.0149,0.114,875,False
EDA-8D,assists,MID,mid,0.0116,-0.0542,0.0849,847,False
EDA-8D,assists,MID,late,0.0743,-0.0034,0.1482,640,False
EDA-8D,assists,FWD,early,0.008,-0.1193,0.1422,186,False
EDA-8D,assists,FWD,mid,0.0879,-0.0577,0.2177,211,False
EDA-8D,assists,FWD,late,-0.0254,-0.1744,0.1229,150,False
EDA-8D,assists,DEF,early,0.0294,-0.0288,0.09,786,False
EDA-8D,assists,DEF,mid,0.0117,-0.0622,0.0865,811,False
EDA-8D,assists,DEF,late,0.0672,-0.0147,0.1412,574,False
EDA-8D,assists_roll3,MID,early,0.1163,0.0441,0.1889,697,True
EDA-8D,assists_roll3,MID,mid,0.0373,-0.0288,0.1065,845,False
EDA-8D,assists_roll3,MID,late,-0.0067,-0.0827,0.0671,640,False
EDA-8D,assists_roll3,FWD,early,0.022,-0.1694,0.2037,150,False
EDA-8D,assists_roll3,FWD,mid,0.1099,-0.0197,0.2356,208,False
EDA-8D,assists_roll3,FWD,late,0.0633,-0.0958,0.2294,150,False
EDA-8D,assists_roll3,DEF,early,-0.0328,-0.1118,0.0451,632,False
EDA-8D,assists_roll3,DEF,mid,-0.0067,-0.0739,0.0561,809,False
EDA-8D,assists_roll3,DEF,late,0.0559,-0.0254,0.139,574,False
EDA-8D,assists_roll5,MID,early,0.1297,0.0451,0.2107,523,True
EDA-8D,assists_roll5,MID,mid,0.0514,-0.0145,0.123,845,False
EDA-8D,assists_roll5,MID,late,0.0172,-0.057,0.0913,640,False
EDA-8D,assists_roll5,FWD,early,0.1094,-0.0847,0.3098,113,False
EDA-8D,assists_roll5,FWD,mid,0.0876,-0.0444,0.2243,208,False
EDA-8D,assists_roll5,FWD,late,0.0861,-0.0715,0.2419,150,False
EDA-8D,assists_roll5,DEF,early,-0.0773,-0.1729,0.0175,474,False
EDA-8D,assists_roll5,DEF,mid,0.0074,-0.0608,0.0713,809,False
EDA-8D,assists_roll5,DEF,late,0.0627,-0.023,0.1443,574,False
