sub_study,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero,clears_naive_baseline
EDA-8A,saves,GKP,full,-0.0289,-0.1099,0.0518,543,False,
EDA-8A,saves,GKP,early,-0.0943,-0.2238,0.0421,200,False,
EDA-8A,saves,GKP,mid,0.0265,-0.1216,0.1628,198,False,
EDA-8A,saves,GKP,late,-0.0173,-0.1719,0.1427,145,False,
EDA-8B,xgc,DEF,full,-0.0371,-0.0787,0.0046,2171,False,
EDA-8B,xgc,DEF,full_no_dgw,-0.0368,-0.0782,0.0049,2160,False,
EDA-8B,xgc,GKP,full,-0.1141,-0.1948,-0.0312,543,True,
EDA-8B,xgc,GKP,full_no_dgw,-0.1145,-0.1986,-0.0338,541,True,
EDA-8D,assists,MID,full,0.0423,0.0015,0.0822,2362,True,False
EDA-8D,assists,MID,full_no_dgw,0.0414,-0.0,0.0808,2351,False,
EDA-8D,assists,FWD,full,0.0325,-0.0482,0.1119,547,False,False
EDA-8D,assists,FWD,full_no_dgw,0.0325,-0.0455,0.1161,543,False,
EDA-8D,assists,DEF,full,0.031,-0.0098,0.0719,2171,False,False
EDA-8D,assists,DEF,full_no_dgw,0.0298,-0.0131,0.0724,2160,False,
EDA-8D,assists_roll3,MID,full,0.0509,0.01,0.0924,2182,True,False
EDA-8D,assists_roll3,MID,full_no_dgw,0.0536,0.0122,0.0951,2171,True,
EDA-8D,assists_roll3,FWD,full,0.071,-0.0149,0.1526,508,False,False
EDA-8D,assists_roll3,FWD,full_no_dgw,0.0724,-0.0204,0.159,504,False,
EDA-8D,assists_roll3,DEF,full,0.0019,-0.0416,0.0465,2015,False,False
EDA-8D,assists_roll3,DEF,full_no_dgw,0.0018,-0.041,0.045,2004,False,
EDA-8D,assists_roll5,MID,full,0.0619,0.0197,0.1031,2008,True,False
EDA-8D,assists_roll5,MID,full_no_dgw,0.0646,0.0217,0.1051,1997,True,
EDA-8D,assists_roll5,FWD,full,0.0916,0.0004,0.1855,471,True,False
EDA-8D,assists_roll5,FWD,full_no_dgw,0.093,0.0075,0.1796,467,True,
EDA-8D,assists_roll5,DEF,full,0.0018,-0.0416,0.0507,1857,False,False
EDA-8D,assists_roll5,DEF,full_no_dgw,0.0016,-0.0409,0.0472,1846,False,
