sub_study,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q1_sd,q2_sd,q3_sd,q4_sd,q5_sd,q5_q1_gap,is_monotonic,decision_relevant
EDA-8D,assists,MID,full,3.328,3.424,3.419,3.093,3.351,3.214,3.357,3.276,2.843,2.971,0.023,False,False
EDA-8D,assists,MID,early,3.44,3.463,3.64,2.846,3.491,3.437,3.397,3.644,2.7,3.081,0.051,False,False
EDA-8D,assists,MID,mid,3.506,3.349,3.112,3.166,3.065,3.505,3.295,2.859,2.794,2.669,-0.441,False,False
EDA-8D,assists,MID,late,3.141,3.164,3.789,3.289,3.422,2.493,3.243,3.362,3.241,2.992,0.281,False,False
EDA-8D,assists,FWD,full,3.945,3.505,3.734,3.468,3.1,3.778,3.765,3.623,3.594,2.736,-0.845,False,False
EDA-8D,assists,FWD,early,3.947,2.757,3.973,3.541,2.973,3.792,3.252,4.052,3.042,2.544,-0.974,False,False
EDA-8D,assists,FWD,mid,3.116,3.738,3.476,3.524,3.595,3.396,3.486,3.563,3.658,3.335,0.479,False,False
EDA-8D,assists,FWD,late,5.0,4.467,4.067,2.667,2.667,4.119,4.855,4.266,2.383,1.971,-2.333,False,False
EDA-8D,assists,DEF,full,3.234,3.309,3.313,2.611,2.977,3.234,3.332,3.428,3.19,3.315,-0.258,False,False
EDA-8D,assists,DEF,early,3.076,4.045,3.166,2.389,2.573,3.249,3.981,3.508,3.331,2.9,-0.503,False,False
EDA-8D,assists,DEF,mid,3.209,2.716,3.272,2.704,3.111,2.989,2.708,3.133,2.846,3.554,-0.097,False,False
EDA-8D,assists,DEF,late,3.513,3.235,3.377,2.887,3.313,3.518,3.047,3.681,3.499,3.457,-0.2,False,False
EDA-8D,assists_roll3,MID,full,3.295,3.463,3.287,3.17,3.474,3.225,3.26,3.062,2.944,3.275,0.178,False,False
EDA-8D,assists_roll3,MID,early,3.121,3.46,3.079,3.532,3.979,3.05,3.486,2.964,3.177,3.952,0.857,False,False
EDA-8D,assists_roll3,MID,mid,3.604,3.0,3.337,3.024,3.237,3.691,2.856,2.899,2.903,2.763,-0.367,False,False
EDA-8D,assists_roll3,MID,late,3.219,3.766,3.523,3.055,3.242,2.806,3.345,3.27,2.903,3.045,0.023,False,False
EDA-8D,assists_roll3,FWD,full,3.608,3.574,3.637,3.188,3.784,3.398,3.451,3.486,3.328,3.793,0.176,False,False
EDA-8D,assists_roll3,FWD,early,3.967,2.467,3.467,3.8,3.367,3.672,2.315,3.048,3.326,3.508,-0.6,False,False
EDA-8D,assists_roll3,FWD,mid,2.5,3.585,4.381,3.585,3.5,2.266,3.294,4.149,3.755,3.542,1.0,False,False
EDA-8D,assists_roll3,FWD,late,4.733,4.567,3.133,2.267,4.167,4.076,3.989,3.579,1.946,4.395,-0.567,False,False
EDA-8D,assists_roll3,DEF,full,3.069,3.253,3.293,2.66,3.035,3.049,3.221,3.606,3.288,3.193,-0.035,False,False
EDA-8D,assists_roll3,DEF,early,2.646,3.754,3.159,2.397,2.795,2.759,3.844,3.671,3.152,3.334,0.15,False,False
EDA-8D,assists_roll3,DEF,mid,3.358,2.667,3.236,2.883,2.889,3.15,2.645,3.312,3.258,2.896,-0.469,False,False
EDA-8D,assists_roll3,DEF,late,3.052,3.539,3.456,2.635,3.643,3.167,3.224,3.852,3.51,3.37,0.591,False,False
EDA-8D,assists_roll5,MID,full,3.318,3.319,3.179,3.382,3.493,3.372,3.066,3.082,3.036,3.192,0.174,False,False
EDA-8D,assists_roll5,MID,early,3.038,3.49,3.0,3.74,4.076,3.028,3.298,2.801,3.768,3.904,1.038,False,False
EDA-8D,assists_roll5,MID,mid,3.615,2.941,3.16,3.391,3.095,3.792,2.734,2.932,2.932,2.675,-0.521,False,False
EDA-8D,assists_roll5,MID,late,3.133,3.891,3.094,3.414,3.273,2.787,3.834,2.827,2.863,2.95,0.141,False,False
EDA-8D,assists_roll5,FWD,full,3.632,3.33,3.521,3.277,3.936,3.427,3.415,3.482,3.133,4.053,0.305,False,False
EDA-8D,assists_roll5,FWD,early,3.652,2.227,2.565,3.864,4.087,3.575,1.926,3.028,3.603,3.383,0.435,False,False
EDA-8D,assists_roll5,FWD,mid,2.881,3.488,3.405,4.244,3.548,2.948,3.399,3.14,3.884,3.946,0.667,False,False
EDA-8D,assists_roll5,FWD,late,4.733,4.333,2.933,2.3,4.567,4.076,3.651,3.591,2.231,4.5,-0.167,False,False
EDA-8D,assists_roll5,DEF,full,3.032,3.31,3.116,2.801,3.067,2.994,3.285,3.532,3.293,3.229,0.035,False,False
EDA-8D,assists_roll5,DEF,early,2.811,3.674,3.0,2.137,3.0,2.803,3.754,3.736,2.608,3.778,0.189,False,False
EDA-8D,assists_roll5,DEF,mid,3.29,2.735,3.342,2.765,2.901,3.15,2.73,3.322,3.179,2.89,-0.389,False,False
EDA-8D,assists_roll5,DEF,late,2.904,4.0,2.807,3.183,3.426,2.878,3.909,3.499,3.548,3.209,0.522,False,False
