signal_id,signal,position,block,target,rho,ci_lower,ci_upper,n,ci_excludes_zero
AVAIL-001,minutes_roll3,GKP,early,played_next_gw,0.1586,-0.0269,0.3392,199,False
AVAIL-001,minutes_roll3,GKP,mid,played_next_gw,0.1547,-0.013,0.3171,278,False
AVAIL-001,minutes_roll3,GKP,late,played_next_gw,0.1916,-0.0048,0.3634,125,False
AVAIL-001,minutes_roll3,DEF,early,played_next_gw,0.2824,0.2137,0.351,782,True
AVAIL-001,minutes_roll3,DEF,mid,played_next_gw,0.1999,0.141,0.2575,1135,True
AVAIL-001,minutes_roll3,DEF,late,played_next_gw,0.1852,0.0926,0.2751,492,True
AVAIL-001,minutes_roll3,MID,early,played_next_gw,0.2848,0.2205,0.3472,882,True
AVAIL-001,minutes_roll3,MID,mid,played_next_gw,0.1797,0.1205,0.2394,1187,True
AVAIL-001,minutes_roll3,MID,late,played_next_gw,0.2601,0.1846,0.3328,550,True
AVAIL-001,minutes_roll3,FWD,early,played_next_gw,0.1962,0.0669,0.3353,180,True
AVAIL-001,minutes_roll3,FWD,mid,played_next_gw,0.2749,0.1594,0.3794,283,True
AVAIL-001,minutes_roll3,FWD,late,played_next_gw,-0.0119,-0.1845,0.1579,132,False
AVAIL-002,minutes_roll5,GKP,early,played_next_gw,0.1073,,,140,False
AVAIL-002,minutes_roll5,GKP,mid,played_next_gw,0.178,0.0228,0.3332,278,True
AVAIL-002,minutes_roll5,GKP,late,played_next_gw,0.1996,0.0022,0.3815,125,True
AVAIL-002,minutes_roll5,DEF,early,played_next_gw,0.2782,0.1961,0.3576,542,True
AVAIL-002,minutes_roll5,DEF,mid,played_next_gw,0.1963,0.1375,0.2516,1135,True
AVAIL-002,minutes_roll5,DEF,late,played_next_gw,0.1758,0.0847,0.2685,492,True
AVAIL-002,minutes_roll5,MID,early,played_next_gw,0.2941,0.2158,0.3658,623,True
AVAIL-002,minutes_roll5,MID,mid,played_next_gw,0.1771,0.117,0.2337,1187,True
AVAIL-002,minutes_roll5,MID,late,played_next_gw,0.2576,0.1824,0.3274,550,True
AVAIL-002,minutes_roll5,FWD,early,played_next_gw,0.1471,-0.021,0.3164,129,False
AVAIL-002,minutes_roll5,FWD,mid,played_next_gw,0.2604,0.1457,0.3681,283,True
AVAIL-002,minutes_roll5,FWD,late,played_next_gw,0.0277,-0.1426,0.1947,132,False
AVAIL-003,minutes_roll8,GKP,early,played_next_gw,0.1731,,,80,False
AVAIL-003,minutes_roll8,GKP,mid,played_next_gw,0.1722,0.0249,0.317,278,True
AVAIL-003,minutes_roll8,GKP,late,played_next_gw,0.1704,-0.041,0.3584,125,False
AVAIL-003,minutes_roll8,DEF,early,played_next_gw,0.2865,0.174,0.387,309,True
AVAIL-003,minutes_roll8,DEF,mid,played_next_gw,0.2012,0.1422,0.2567,1135,True
AVAIL-003,minutes_roll8,DEF,late,played_next_gw,0.212,0.1172,0.3013,492,True
AVAIL-003,minutes_roll8,MID,early,played_next_gw,0.3274,0.2316,0.4193,358,True
AVAIL-003,minutes_roll8,MID,mid,played_next_gw,0.1815,0.1247,0.2368,1187,True
AVAIL-003,minutes_roll8,MID,late,played_next_gw,0.2384,0.1604,0.3138,550,True
AVAIL-003,minutes_roll8,FWD,early,played_next_gw,0.1817,-0.0333,0.388,77,False
AVAIL-003,minutes_roll8,FWD,mid,played_next_gw,0.2826,0.1792,0.384,283,True
AVAIL-003,minutes_roll8,FWD,late,played_next_gw,0.0543,-0.1172,0.2209,132,False
