signal_id,signal,position,block,target,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
AVAIL-001,minutes_roll3,GKP,full,played_next_gw,0.86,0.942,0.967,0.942,0.917,0.058,False,False
AVAIL-001,minutes_roll3,GKP,full,total_points_next_gw,2.942,3.517,3.417,2.625,3.24,0.298,False,False
AVAIL-001,minutes_roll3,GKP,early,played_next_gw,0.875,0.95,0.949,0.95,0.925,0.05,False,False
AVAIL-001,minutes_roll3,GKP,mid,played_next_gw,0.875,0.982,1.0,0.945,0.946,0.071,False,False
AVAIL-001,minutes_roll3,GKP,late,played_next_gw,0.8,0.84,0.92,0.8,0.96,0.16,False,False
AVAIL-001,minutes_roll3,DEF,full,played_next_gw,0.629,0.774,0.852,0.9,0.842,0.214,False,False
AVAIL-001,minutes_roll3,DEF,full,total_points_next_gw,2.429,2.869,3.441,3.32,3.373,0.944,False,False
AVAIL-001,minutes_roll3,DEF,early,played_next_gw,0.65,0.75,0.897,0.955,0.866,0.217,False,False
AVAIL-001,minutes_roll3,DEF,mid,played_next_gw,0.612,0.789,0.868,0.855,0.846,0.233,False,False
AVAIL-001,minutes_roll3,DEF,late,played_next_gw,0.616,0.796,0.745,0.908,0.808,0.192,False,False
AVAIL-001,minutes_roll3,MID,full,played_next_gw,0.601,0.723,0.772,0.832,0.88,0.279,True,True
AVAIL-001,minutes_roll3,MID,full,total_points_next_gw,2.605,3.067,3.358,3.729,3.698,1.094,False,False
AVAIL-001,minutes_roll3,MID,early,played_next_gw,0.537,0.756,0.767,0.858,0.893,0.356,True,True
AVAIL-001,minutes_roll3,MID,mid,played_next_gw,0.613,0.738,0.768,0.789,0.849,0.235,True,True
AVAIL-001,minutes_roll3,MID,late,played_next_gw,0.682,0.645,0.791,0.882,0.918,0.236,False,False
AVAIL-001,minutes_roll3,FWD,full,played_next_gw,0.639,0.681,0.706,0.874,0.84,0.202,False,False
AVAIL-001,minutes_roll3,FWD,full,total_points_next_gw,3.437,3.345,3.487,3.748,3.916,0.479,False,False
AVAIL-001,minutes_roll3,FWD,early,played_next_gw,0.75,0.556,0.778,0.917,0.861,0.111,False,False
AVAIL-001,minutes_roll3,FWD,mid,played_next_gw,0.544,0.661,0.754,0.875,0.86,0.316,False,False
AVAIL-001,minutes_roll3,FWD,late,played_next_gw,0.741,0.769,0.654,0.731,0.778,0.037,False,False
AVAIL-002,minutes_roll5,GKP,full,played_next_gw,0.862,0.944,0.972,0.944,0.945,0.083,False,False
AVAIL-002,minutes_roll5,GKP,full,total_points_next_gw,2.716,3.565,3.514,2.935,3.239,0.523,False,False
AVAIL-002,minutes_roll5,GKP,early,played_next_gw,0.929,0.964,1.0,0.929,1.0,0.071,False,False
AVAIL-002,minutes_roll5,GKP,mid,played_next_gw,0.875,0.982,0.982,0.945,0.964,0.089,False,False
AVAIL-002,minutes_roll5,GKP,late,played_next_gw,0.72,0.92,0.88,0.92,0.88,0.16,False,False
AVAIL-002,minutes_roll5,DEF,full,played_next_gw,0.638,0.776,0.813,0.899,0.864,0.226,False,False
