signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
FIXTURE-001,fdr_avg,GKP,early,-0.1161,-0.262,0.0291,200,False
FIXTURE-001,fdr_avg,GKP,mid,-0.1672,-0.2817,-0.0474,278,True
FIXTURE-001,fdr_avg,GKP,late,-0.1565,-0.3033,0.0053,135,False
FIXTURE-001,fdr_avg,DEF,early,-0.1933,-0.2599,-0.1228,783,True
FIXTURE-001,fdr_avg,DEF,mid,-0.1883,-0.2415,-0.1322,1137,True
FIXTURE-001,fdr_avg,DEF,late,-0.2177,-0.2973,-0.1356,535,True
FIXTURE-001,fdr_avg,MID,early,-0.1757,-0.2424,-0.1113,884,True
FIXTURE-001,fdr_avg,MID,mid,-0.1632,-0.2168,-0.1075,1189,True
FIXTURE-001,fdr_avg,MID,late,-0.1262,-0.2082,-0.0432,600,True
FIXTURE-001,fdr_avg,FWD,early,-0.0812,-0.2254,0.0674,182,False
FIXTURE-001,fdr_avg,FWD,mid,-0.1326,-0.237,-0.0253,286,True
FIXTURE-001,fdr_avg,FWD,late,-0.0279,-0.1862,0.1371,142,False
FIXTURE-002,was_home,GKP,early,0.0833,-0.0484,0.227,200,False
FIXTURE-002,was_home,GKP,mid,0.0727,-0.0533,0.1892,276,False
FIXTURE-002,was_home,GKP,late,-0.0089,-0.1952,0.1599,129,False
FIXTURE-002,was_home,DEF,early,0.1124,0.0393,0.1779,783,True
FIXTURE-002,was_home,DEF,mid,0.0641,0.0054,0.1203,1126,True
FIXTURE-002,was_home,DEF,late,0.0136,-0.074,0.099,508,False
FIXTURE-002,was_home,MID,early,0.1272,0.0669,0.1949,884,True
FIXTURE-002,was_home,MID,mid,0.0257,-0.0319,0.0851,1178,False
FIXTURE-002,was_home,MID,late,-0.0468,-0.1338,0.0321,565,False
FIXTURE-002,was_home,FWD,early,0.0388,-0.1049,0.18,182,False
FIXTURE-002,was_home,FWD,mid,-0.0144,-0.1279,0.1021,282,False
FIXTURE-002,was_home,FWD,late,0.0219,-0.1419,0.1864,135,False
FIXTURE-003,fixture_count,DEF,early,,,,783,False
FIXTURE-003,fixture_count,DEF,mid,0.0626,-0.0047,0.1216,1137,False
FIXTURE-003,fixture_count,DEF,late,0.1801,0.0943,0.2586,535,True
FIXTURE-003,fixture_count,MID,early,,,,884,False
FIXTURE-003,fixture_count,MID,mid,0.0375,-0.0294,0.0979,1189,False
FIXTURE-003,fixture_count,MID,late,0.1673,0.0938,0.2374,600,True
