signal_id,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
FIXTURE-001,fdr_avg,GKP,full,4.154,3.484,3.041,3.451,2.829,-1.325,False,False
FIXTURE-001,fdr_avg,GKP,early,3.875,3.675,2.975,3.225,2.875,-1.0,False,False
FIXTURE-001,fdr_avg,GKP,mid,4.357,2.982,3.054,2.764,3.161,-1.196,False,False
FIXTURE-001,fdr_avg,GKP,late,4.074,3.741,3.815,4.778,2.333,-1.741,False,False
FIXTURE-001,fdr_avg,DEF,full,4.898,3.735,3.996,3.397,2.859,-2.039,False,False
FIXTURE-001,fdr_avg,DEF,early,4.701,4.077,3.65,3.346,2.854,-1.847,True,True
FIXTURE-001,fdr_avg,DEF,mid,5.0,3.322,3.753,3.269,3.11,-1.89,False,False
FIXTURE-001,fdr_avg,DEF,late,5.019,3.897,5.075,3.897,2.29,-2.729,False,False
FIXTURE-001,fdr_avg,MID,full,4.727,4.105,4.312,3.648,3.271,-1.456,False,False
FIXTURE-001,fdr_avg,MID,early,4.718,4.203,4.188,3.13,3.181,-1.537,False,False
FIXTURE-001,fdr_avg,MID,mid,4.874,4.164,4.295,3.929,3.294,-1.58,False,False
FIXTURE-001,fdr_avg,MID,late,4.508,3.833,4.542,3.742,3.417,-1.092,False,False
FIXTURE-001,fdr_avg,FWD,full,4.582,4.467,4.516,3.689,3.541,-1.041,False,False
FIXTURE-001,fdr_avg,FWD,early,4.135,5.056,5.056,3.139,3.297,-0.838,False,False
FIXTURE-001,fdr_avg,FWD,mid,4.569,3.754,4.702,3.93,3.246,-1.323,False,False
FIXTURE-001,fdr_avg,FWD,late,5.138,5.5,3.964,2.893,4.621,-0.517,False,False
FIXTURE-002,was_home,GKP,full,3.446,2.843,3.678,3.603,3.198,-0.248,False,False
FIXTURE-002,was_home,GKP,early,2.85,3.2,3.75,3.85,2.975,0.125,False,False
FIXTURE-002,was_home,GKP,mid,3.607,2.818,3.145,3.364,3.218,-0.389,False,False
FIXTURE-002,was_home,GKP,late,3.885,2.769,4.24,4.077,3.346,-0.538,False,False
FIXTURE-002,was_home,DEF,full,3.806,3.648,3.549,3.963,3.661,-0.145,False,False
FIXTURE-002,was_home,DEF,early,4.045,3.045,3.611,4.66,3.268,-0.777,False,False
FIXTURE-002,was_home,DEF,mid,3.588,3.6,3.769,3.627,3.751,0.163,False,False
FIXTURE-002,was_home,DEF,late,4.167,4.208,3.235,3.703,3.961,-0.206,False,False
FIXTURE-002,was_home,MID,full,4.015,3.771,3.928,4.112,4.059,0.044,False,False
FIXTURE-002,was_home,MID,early,3.723,3.277,4.114,4.395,3.91,0.186,False,False
FIXTURE-002,was_home,MID,mid,4.199,3.949,4.055,3.979,4.284,0.085,False,False
FIXTURE-002,was_home,MID,late,3.991,4.23,3.416,4.186,3.584,-0.407,False,False
FIXTURE-002,was_home,FWD,full,4.2,4.275,3.866,4.25,3.975,-0.225,False,False
FIXTURE-002,was_home,FWD,early,4.0,3.75,4.333,5.139,3.459,-0.541,False,False
FIXTURE-002,was_home,FWD,mid,3.982,4.696,3.411,4.196,3.947,-0.035,False,False
FIXTURE-002,was_home,FWD,late,4.852,3.889,3.852,4.333,4.222,-0.63,False,False
FIXTURE-003,fixture_count,DEF,full,3.963,3.839,4.002,3.525,3.556,-0.407,False,False
FIXTURE-003,fixture_count,DEF,early,3.726,4.449,3.745,3.577,3.134,-0.592,False,False
FIXTURE-003,fixture_count,DEF,mid,3.987,3.454,4.013,3.7,3.303,-0.684,False,False
FIXTURE-003,fixture_count,DEF,late,4.43,3.654,4.168,3.561,4.364,-0.065,False,False
FIXTURE-003,fixture_count,MID,full,4.191,3.891,4.05,4.144,3.787,-0.404,False,False
FIXTURE-003,fixture_count,MID,early,4.147,4.192,3.676,3.994,3.407,-0.74,False,False
FIXTURE-003,fixture_count,MID,mid,4.508,3.706,4.414,4.042,3.887,-0.622,False,False
FIXTURE-003,fixture_count,MID,late,3.608,3.9,4.417,3.767,4.35,0.742,False,False
