signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
FORM-001,xgi_roll3,DEF,early,0.1227,0.0537,0.1931,782,True
FORM-001,xgi_roll3,DEF,mid,0.0885,0.0322,0.1431,1135,True
FORM-001,xgi_roll3,DEF,late,0.1953,0.1073,0.2776,492,True
FORM-001,xgi_roll3,MID,early,0.1636,0.0977,0.2253,882,True
FORM-001,xgi_roll3,MID,mid,0.1151,0.0577,0.1737,1187,True
FORM-001,xgi_roll3,MID,late,0.1775,0.0935,0.2602,550,True
FORM-001,xgi_roll3,FWD,early,0.0558,-0.103,0.2085,180,False
FORM-001,xgi_roll3,FWD,mid,0.1409,0.0233,0.2647,283,True
FORM-001,xgi_roll3,FWD,late,0.0263,-0.1473,0.2002,132,False
FORM-002,xgi_roll5,DEF,early,0.1188,0.0364,0.2011,542,True
FORM-002,xgi_roll5,DEF,mid,0.0663,0.0067,0.125,1135,True
FORM-002,xgi_roll5,DEF,late,0.2097,0.1249,0.2895,492,True
FORM-002,xgi_roll5,MID,early,0.1824,0.105,0.2587,623,True
FORM-002,xgi_roll5,MID,mid,0.1267,0.0687,0.1841,1187,True
FORM-002,xgi_roll5,MID,late,0.1973,0.1162,0.2775,550,True
FORM-002,xgi_roll5,FWD,early,0.0167,-0.166,0.2131,129,False
FORM-002,xgi_roll5,FWD,mid,0.1474,0.0288,0.2614,283,True
FORM-002,xgi_roll5,FWD,late,0.0499,-0.122,0.2239,132,False
FORM-003,goals_scored_roll3,DEF,early,0.0281,-0.0399,0.0946,782,False
FORM-003,goals_scored_roll3,DEF,mid,0.001,-0.06,0.0634,1135,False
FORM-003,goals_scored_roll3,DEF,late,0.0461,-0.0367,0.1335,492,False
FORM-003,goals_scored_roll3,MID,early,0.0607,-0.005,0.1259,882,False
FORM-003,goals_scored_roll3,MID,mid,0.0293,-0.0277,0.0864,1187,False
FORM-003,goals_scored_roll3,MID,late,0.2071,0.1313,0.2862,550,True
FORM-003,goals_scored_roll3,FWD,early,0.2061,0.0502,0.3533,180,True
FORM-003,goals_scored_roll3,FWD,mid,0.0862,-0.0388,0.2053,283,False
FORM-003,goals_scored_roll3,FWD,late,-0.0308,-0.2162,0.1522,132,False
FORM-004,points_roll3,GKP,early,0.09,-0.0516,0.2242,199,False
FORM-004,points_roll3,GKP,mid,0.0258,-0.0969,0.1455,278,False
FORM-004,points_roll3,GKP,late,0.1236,-0.0597,0.2997,125,False
FORM-004,points_roll3,DEF,early,0.1464,0.0773,0.2167,782,True
FORM-004,points_roll3,DEF,mid,0.0599,0.0018,0.1163,1135,True
FORM-004,points_roll3,DEF,late,0.1845,0.092,0.2689,492,True
FORM-004,points_roll3,MID,early,0.1696,0.1032,0.2335,882,True
FORM-004,points_roll3,MID,mid,0.1076,0.0483,0.1668,1187,True
FORM-004,points_roll3,MID,late,0.242,0.1632,0.3179,550,True
FORM-004,points_roll3,FWD,early,0.1465,-0.0085,0.2972,180,False
FORM-004,points_roll3,FWD,mid,0.1805,0.0637,0.2979,283,True
FORM-004,points_roll3,FWD,late,0.0162,-0.1761,0.2014,132,False
FORM-005,points_roll5,GKP,early,0.066,-0.0915,0.2245,140,False
FORM-005,points_roll5,GKP,mid,0.0345,-0.0872,0.1503,278,False
FORM-005,points_roll5,GKP,late,0.1719,-0.0144,0.3393,125,False
FORM-005,points_roll5,DEF,early,0.1399,0.0579,0.2253,542,True
FORM-005,points_roll5,DEF,mid,0.0644,0.0053,0.1218,1135,True
FORM-005,points_roll5,DEF,late,0.1904,0.1065,0.272,492,True
FORM-005,points_roll5,MID,early,0.1702,0.0859,0.2456,623,True
FORM-005,points_roll5,MID,mid,0.12,0.0611,0.1784,1187,True
FORM-005,points_roll5,MID,late,0.2222,0.1425,0.3019,550,True
FORM-005,points_roll5,FWD,early,0.1083,-0.0742,0.2879,129,False
FORM-005,points_roll5,FWD,mid,0.1341,0.0194,0.2519,283,True
FORM-005,points_roll5,FWD,late,0.0022,-0.1669,0.1826,132,False
FORM-006,minutes_roll3,DEF,early,0.1818,0.1132,0.2533,782,True
FORM-006,minutes_roll3,DEF,mid,0.098,0.0391,0.1552,1135,True
FORM-006,minutes_roll3,DEF,late,0.1735,0.0875,0.2568,492,True
FORM-006,minutes_roll3,MID,early,0.1994,0.136,0.2592,882,True
FORM-006,minutes_roll3,MID,mid,0.1479,0.0911,0.2049,1187,True
FORM-006,minutes_roll3,MID,late,0.2034,0.1258,0.2804,550,True
FORM-006,minutes_roll3,FWD,early,0.0798,-0.0689,0.2274,180,False
FORM-006,minutes_roll3,FWD,mid,0.146,0.0262,0.2625,283,True
FORM-006,minutes_roll3,FWD,late,-0.0231,-0.199,0.1479,132,False
