signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
FORM-001,xgi_roll3,DEF,full,0.1226,0.0842,0.161,2409,True
FORM-001,xgi_roll3,DEF,full_no_dgw,0.1215,0.0831,0.1612,2398,True
FORM-001,xgi_roll3,MID,full,0.144,0.1075,0.1817,2619,True
FORM-001,xgi_roll3,MID,full_no_dgw,0.1445,0.106,0.1843,2608,True
FORM-001,xgi_roll3,FWD,full,0.0914,0.01,0.1766,595,True
FORM-001,xgi_roll3,FWD,full_no_dgw,0.0913,0.007,0.1747,591,True
FORM-002,xgi_roll5,DEF,full,0.1132,0.0706,0.1552,2169,True
FORM-002,xgi_roll5,DEF,full_no_dgw,0.1117,0.0706,0.1541,2158,True
FORM-002,xgi_roll5,MID,full,0.1571,0.1178,0.1967,2360,True
FORM-002,xgi_roll5,MID,full_no_dgw,0.158,0.1186,0.1982,2349,True
FORM-002,xgi_roll5,FWD,full,0.0971,0.0122,0.1808,544,True
FORM-002,xgi_roll5,FWD,full_no_dgw,0.0976,0.0057,0.1824,540,True
FORM-003,goals_scored_roll3,DEF,full,0.0183,-0.0226,0.0614,2409,False
FORM-003,goals_scored_roll3,DEF,full_no_dgw,0.0182,-0.0228,0.06,2398,False
FORM-003,goals_scored_roll3,MID,full,0.0762,0.0404,0.1142,2619,True
FORM-003,goals_scored_roll3,MID,full_no_dgw,0.0775,0.0399,0.1142,2608,True
FORM-003,goals_scored_roll3,FWD,full,0.0965,0.015,0.1826,595,True
FORM-003,goals_scored_roll3,FWD,full_no_dgw,0.0933,0.0111,0.1771,591,True
FORM-004,points_roll3,GKP,full,0.0713,-0.0101,0.15,602,False
FORM-004,points_roll3,GKP,full_no_dgw,0.0701,-0.0137,0.1521,600,False
FORM-004,points_roll3,DEF,full,0.1131,0.0748,0.1516,2409,True
FORM-004,points_roll3,DEF,full_no_dgw,0.1124,0.0733,0.1531,2398,True
FORM-004,points_roll3,MID,full,0.1556,0.1198,0.1943,2619,True
FORM-004,points_roll3,MID,full_no_dgw,0.1586,0.1207,0.1976,2608,True
FORM-004,points_roll3,FWD,full,0.1304,0.049,0.2158,595,True
FORM-004,points_roll3,FWD,full_no_dgw,0.1283,0.0427,0.2115,591,True
FORM-005,points_roll5,GKP,full,0.082,-0.0034,0.1677,543,False
FORM-005,points_roll5,GKP,full_no_dgw,0.0807,-0.0029,0.1647,541,False
FORM-005,points_roll5,DEF,full,0.1114,0.0707,0.1527,2169,True
FORM-005,points_roll5,DEF,full_no_dgw,0.1104,0.0685,0.1526,2158,True
FORM-005,points_roll5,MID,full,0.1578,0.1183,0.1978,2360,True
FORM-005,points_roll5,MID,full_no_dgw,0.1604,0.1221,0.2012,2349,True
FORM-005,points_roll5,FWD,full,0.0916,0.0095,0.1754,544,True
FORM-005,points_roll5,FWD,full_no_dgw,0.0891,0.0046,0.1723,540,True
FORM-006,minutes_roll3,DEF,full,0.1383,0.0976,0.1783,2409,True
FORM-006,minutes_roll3,DEF,full_no_dgw,0.1368,0.0983,0.1781,2398,True
FORM-006,minutes_roll3,MID,full,0.1786,0.1395,0.217,2619,True
FORM-006,minutes_roll3,MID,full_no_dgw,0.1804,0.1442,0.2168,2608,True
FORM-006,minutes_roll3,FWD,full,0.0845,0.0054,0.165,595,True
FORM-006,minutes_roll3,FWD,full_no_dgw,0.0878,0.0043,0.1685,591,True
