signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
MARKET-001,transfers_in,GKP,early,0.1827,0.043,0.3072,200,True
MARKET-001,transfers_in,GKP,mid,0.1522,0.0299,0.2658,278,True
MARKET-001,transfers_in,GKP,late,0.0677,-0.1228,0.2548,125,False
MARKET-001,transfers_in,DEF,early,0.2331,0.1715,0.2996,783,True
MARKET-001,transfers_in,DEF,mid,0.1642,0.106,0.2208,1137,True
MARKET-001,transfers_in,DEF,late,0.176,0.0861,0.2632,492,True
MARKET-001,transfers_in,MID,early,0.1834,0.1197,0.2453,884,True
MARKET-001,transfers_in,MID,mid,0.18,0.1243,0.2364,1189,True
MARKET-001,transfers_in,MID,late,0.2352,0.1522,0.3179,550,True
MARKET-001,transfers_in,FWD,early,0.1389,-0.0172,0.2812,182,False
MARKET-001,transfers_in,FWD,mid,0.1383,0.0269,0.2468,286,True
MARKET-001,transfers_in,FWD,late,0.1272,-0.0426,0.2937,132,False
MARKET-002,transfers_balance,GKP,early,0.1493,0.0148,0.2769,200,True
MARKET-002,transfers_balance,GKP,mid,0.0206,-0.0966,0.1363,278,False
MARKET-002,transfers_balance,GKP,late,-0.0188,-0.1937,0.1507,125,False
MARKET-002,transfers_balance,DEF,early,0.1241,0.0598,0.1921,783,True
MARKET-002,transfers_balance,DEF,mid,0.0296,-0.0306,0.0884,1137,False
MARKET-002,transfers_balance,DEF,late,0.0519,-0.0418,0.1432,492,False
MARKET-002,transfers_balance,MID,early,0.0792,0.0152,0.1447,884,True
MARKET-002,transfers_balance,MID,mid,0.1272,0.0676,0.184,1189,True
MARKET-002,transfers_balance,MID,late,0.0822,-0.0047,0.1633,550,False
MARKET-002,transfers_balance,FWD,early,0.1744,0.0249,0.3113,182,True
MARKET-002,transfers_balance,FWD,mid,-0.0314,-0.1502,0.088,286,False
MARKET-002,transfers_balance,FWD,late,0.1078,-0.0674,0.2793,132,False
MARKET-003,ownership_count,GKP,early,0.1415,0.0025,0.2752,200,True
MARKET-003,ownership_count,GKP,mid,0.167,0.0458,0.2787,278,True
MARKET-003,ownership_count,GKP,late,0.0106,-0.1745,0.1973,125,False
MARKET-003,ownership_count,DEF,early,0.179,0.1154,0.2457,783,True
MARKET-003,ownership_count,DEF,mid,0.1609,0.1044,0.2137,1137,True
MARKET-003,ownership_count,DEF,late,0.1046,0.011,0.195,492,True
MARKET-003,ownership_count,MID,early,0.1741,0.109,0.2369,884,True
MARKET-003,ownership_count,MID,mid,0.1526,0.0964,0.2089,1189,True
MARKET-003,ownership_count,MID,late,0.188,0.1026,0.2725,550,True
MARKET-003,ownership_count,FWD,early,0.0902,-0.0578,0.2306,182,False
MARKET-003,ownership_count,FWD,mid,0.1723,0.0582,0.28,286,True
MARKET-003,ownership_count,FWD,late,0.0952,-0.0751,0.2603,132,False
MARKET-004,purchase_price,GKP,early,0.1063,-0.0278,0.2448,200,False
MARKET-004,purchase_price,GKP,mid,0.1719,0.0573,0.2827,278,True
MARKET-004,purchase_price,GKP,late,-0.0349,-0.2201,0.1499,125,False
MARKET-004,purchase_price,DEF,early,0.1392,0.0671,0.2091,783,True
MARKET-004,purchase_price,DEF,mid,0.1372,0.0796,0.1963,1137,True
MARKET-004,purchase_price,DEF,late,0.0685,-0.0209,0.1516,492,False
MARKET-004,purchase_price,MID,early,0.133,0.0679,0.1973,884,True
MARKET-004,purchase_price,MID,mid,0.1125,0.056,0.1703,1189,True
MARKET-004,purchase_price,MID,late,0.1312,0.0481,0.2129,550,True
MARKET-004,purchase_price,FWD,early,0.1785,0.0317,0.3163,182,True
MARKET-004,purchase_price,FWD,mid,0.1815,0.0627,0.2979,286,True
MARKET-004,purchase_price,FWD,late,0.077,-0.1065,0.2576,132,False
