signal_id,signal,position,block,rho,ci_lower,ci_upper,n,ci_excludes_zero
MARKET-001,transfers_in,GKP,full,0.1462,0.0647,0.2269,603,True
MARKET-001,transfers_in,GKP,full_no_dgw,0.145,0.0635,0.2252,601,True
MARKET-001,transfers_in,DEF,full,0.1866,0.1456,0.2261,2412,True
MARKET-001,transfers_in,DEF,full_no_dgw,0.1855,0.1466,0.2245,2401,True
MARKET-001,transfers_in,MID,full,0.1902,0.1526,0.23,2623,True
MARKET-001,transfers_in,MID,full_no_dgw,0.1922,0.1537,0.2281,2612,True
MARKET-001,transfers_in,FWD,full,0.1266,0.0411,0.2028,600,True
MARKET-001,transfers_in,FWD,full_no_dgw,0.1236,0.0437,0.2002,596,True
MARKET-002,transfers_balance,GKP,full,0.0578,-0.0224,0.136,603,False
MARKET-002,transfers_balance,GKP,full_no_dgw,0.0567,-0.0217,0.1372,601,False
MARKET-002,transfers_balance,DEF,full,0.0655,0.0251,0.1073,2412,True
MARKET-002,transfers_balance,DEF,full_no_dgw,0.0654,0.0236,0.106,2401,True
MARKET-002,transfers_balance,MID,full,0.1021,0.0644,0.14,2623,True
MARKET-002,transfers_balance,MID,full_no_dgw,0.1053,0.0663,0.1431,2612,True
MARKET-002,transfers_balance,FWD,full,0.0681,-0.0152,0.149,600,False
MARKET-002,transfers_balance,FWD,full_no_dgw,0.0665,-0.0133,0.1518,596,False
MARKET-003,ownership_count,GKP,full,0.1255,0.0465,0.2075,603,True
MARKET-003,ownership_count,GKP,full_no_dgw,0.1238,0.046,0.2038,601,True
MARKET-003,ownership_count,DEF,full,0.1558,0.1165,0.1959,2412,True
MARKET-003,ownership_count,DEF,full_no_dgw,0.1549,0.1137,0.1917,2401,True
MARKET-003,ownership_count,MID,full,0.1684,0.1304,0.2047,2623,True
MARKET-003,ownership_count,MID,full_no_dgw,0.1675,0.128,0.2049,2612,True
MARKET-003,ownership_count,FWD,full,0.1362,0.0533,0.2145,600,True
MARKET-003,ownership_count,FWD,full_no_dgw,0.1308,0.0499,0.2068,596,True
MARKET-004,purchase_price,GKP,full,0.1055,0.0286,0.1856,603,True
MARKET-004,purchase_price,GKP,full_no_dgw,0.1039,0.0263,0.1835,601,True
MARKET-004,purchase_price,DEF,full,0.1212,0.0824,0.1617,2412,True
MARKET-004,purchase_price,DEF,full_no_dgw,0.1216,0.0814,0.1616,2401,True
MARKET-004,purchase_price,MID,full,0.1207,0.0826,0.1574,2623,True
MARKET-004,purchase_price,MID,full_no_dgw,0.1198,0.0807,0.1593,2612,True
MARKET-004,purchase_price,FWD,full,0.1549,0.0771,0.2367,600,True
MARKET-004,purchase_price,FWD,full_no_dgw,0.1486,0.0673,0.2255,596,True
