signal_id,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
MARKET-001,transfers_in,GKP,full,2.372,3.3,3.157,3.617,3.281,0.909,False,False
MARKET-001,transfers_in,GKP,early,2.175,3.25,3.125,3.025,3.6,1.425,False,False
MARKET-001,transfers_in,GKP,mid,2.696,2.691,3.304,4.036,3.411,0.714,False,False
MARKET-001,transfers_in,GKP,late,2.48,3.32,3.68,3.16,3.04,0.56,False,False
MARKET-001,transfers_in,DEF,full,2.085,2.755,3.32,3.417,3.843,1.758,True,True
MARKET-001,transfers_in,DEF,early,1.904,2.833,3.274,3.436,4.064,2.159,True,True
MARKET-001,transfers_in,DEF,mid,2.202,2.643,3.211,3.251,3.662,1.461,True,True
MARKET-001,transfers_in,DEF,late,1.97,3.102,3.449,3.776,4.02,2.051,True,True
MARKET-001,transfers_in,MID,full,2.613,2.782,3.084,3.844,4.126,1.512,True,True
MARKET-001,transfers_in,MID,early,2.367,2.706,3.381,4.034,3.718,1.35,False,False
MARKET-001,transfers_in,MID,mid,2.811,2.819,2.793,3.693,4.214,1.403,False,False
MARKET-001,transfers_in,MID,late,2.664,2.855,3.055,4.0,4.518,1.855,True,True
MARKET-001,transfers_in,FWD,full,2.775,3.5,3.325,3.508,4.758,1.983,False,False
MARKET-001,transfers_in,FWD,early,3.378,2.75,3.667,3.194,5.189,1.811,False,False
MARKET-001,transfers_in,FWD,mid,2.569,3.351,3.316,3.93,3.93,1.361,False,False
MARKET-001,transfers_in,FWD,late,2.63,3.385,4.154,3.654,5.259,2.63,False,False
MARKET-002,transfers_balance,GKP,full,3.174,3.175,2.479,3.567,3.331,0.157,False,False
MARKET-002,transfers_balance,GKP,early,2.375,3.275,3.025,2.65,3.85,1.475,False,False
MARKET-002,transfers_balance,GKP,mid,3.482,3.164,2.5,3.618,3.375,-0.107,False,False
MARKET-002,transfers_balance,GKP,late,3.52,2.8,2.96,3.6,2.8,-0.72,False,False
MARKET-002,transfers_balance,DEF,full,3.217,2.871,2.328,3.22,3.781,0.563,False,False
MARKET-002,transfers_balance,DEF,early,3.178,2.821,2.268,2.974,4.268,1.089,False,False
MARKET-002,transfers_balance,DEF,mid,3.311,2.841,2.339,2.978,3.496,0.184,False,False
MARKET-002,transfers_balance,DEF,late,3.727,2.602,2.204,3.816,3.949,0.222,False,False
MARKET-002,transfers_balance,MID,full,3.455,2.714,2.762,3.305,4.211,0.756,False,False
MARKET-002,transfers_balance,MID,early,3.52,2.751,2.398,3.734,3.797,0.277,False,False
MARKET-002,transfers_balance,MID,mid,3.185,2.882,2.738,3.206,4.319,1.134,False,False
MARKET-002,transfers_balance,MID,late,3.836,2.791,2.764,3.218,4.482,0.645,False,False
MARKET-002,transfers_balance,FWD,full,3.667,3.117,2.775,3.692,4.617,0.95,False,False
MARKET-002,transfers_balance,FWD,early,3.081,2.306,3.694,3.639,5.459,2.378,False,False
MARKET-002,transfers_balance,FWD,mid,4.259,3.123,2.421,3.456,3.807,-0.452,False,False
MARKET-002,transfers_balance,FWD,late,3.333,4.115,2.692,3.808,5.111,1.778,False,False
MARKET-003,ownership_count,GKP,full,2.388,3.317,3.331,3.475,3.215,0.826,False,False
MARKET-003,ownership_count,GKP,early,2.25,3.375,3.55,2.75,3.25,1.0,False,False
MARKET-003,ownership_count,GKP,mid,2.375,3.164,3.304,3.964,3.339,0.964,False,False
MARKET-003,ownership_count,GKP,late,2.64,3.92,3.44,2.24,3.44,0.8,False,False
MARKET-003,ownership_count,DEF,full,2.178,2.886,3.226,3.446,3.683,1.505,True,True
MARKET-003,ownership_count,DEF,early,2.127,2.801,3.357,3.372,3.854,1.726,True,True
MARKET-003,ownership_count,DEF,mid,2.268,2.564,3.097,3.432,3.61,1.342,True,True
MARKET-003,ownership_count,DEF,late,2.414,3.531,3.184,3.582,3.606,1.192,False,False
MARKET-003,ownership_count,MID,full,2.65,2.954,3.074,3.532,4.238,1.589,True,True
MARKET-003,ownership_count,MID,early,2.486,2.729,3.364,3.48,4.147,1.661,True,True
MARKET-003,ownership_count,MID,mid,2.668,3.113,2.873,3.324,4.353,1.685,False,False
MARKET-003,ownership_count,MID,late,2.827,2.909,3.045,4.045,4.264,1.436,True,True
